Machines > Bridgeport Mill 1 > Spindle > Y-Radial > Band 1,,,Machines > Bridgeport Mill 1 > Spindle > Y-Radial > Damage Accumulation,,,Machines > Bridgeport Mill 1 > Spindle > Y-Radial > Peak Acceleration,,,Machines > Bridgeport Mill 1 > Spindle > Y-Radial > Peak Velocity,,,Machines > Bridgeport Mill 1 > Spindle > X-Axial > RMS Velocity,,,Machines > Bridgeport Mill 1 > Spindle > X-Axial > Temperature,,,Machines > Bridgeport Mill 1 > Spindle > X-Axial > Peak Acceleration,,,Machines > Bridgeport Mill 1 > Spindle > X-Axial > Peak Velocity,,,Machines > Bridgeport Mill 1 > Spindle > Y-Radial > RMS Velocity,,,Machines > Bridgeport Mill 1 > Spindle > Y-Radial > Temperature,,,Machines > Bridgeport Mill 1 > Spindle > X-Axial > Band 1,,,Machines > Bridgeport Mill 1 > Spindle > X-Axial > Damage Accumulation,,,Machines > Bridgeport Mill 1 > Spindle > Battery Voltage,
Time (UTC), Avg(in/sec),,Time (UTC), Avg(Damage),,Time (UTC), Avg(g),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(ChrW(186)F),,Time (UTC), Avg(g),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(°F),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(Damage),,Time (UTC), Avg(V)
2/15/20 5:09,0.0024374,,2/15/20 5:09,1.0124303,,2/15/20 5:09,0.0481759,,2/15/20 5:09,0.0081651,,2/15/20 5:08,0.0036551,,2/15/20 5:09,65.81021881,,2/15/20 5:08,0.0419559,,2/15/20 5:08,0.0104708,,2/15/20 5:09,0.0027906,,2/15/20 5:09,65.81021881,,2/15/20 5:08,0.0019899,,2/15/20 5:08,0.9619807,,2/15/20 5:09,3.241709471
2/15/20 5:18,0.0034169,,2/15/20 5:18,0.983099,,2/15/20 5:18,0.0522578,,2/15/20 5:18,0.0086778,,2/15/20 5:18,0.0032932,,2/15/20 5:19,66.27796173,,2/15/20 5:18,0.0525772,,2/15/20 5:18,0.0115188,,2/15/20 5:18,0.0030248,,2/15/20 5:19,66.27796173,,2/15/20 5:18,0.0027387,,2/15/20 5:18,0.959487,,2/15/20 5:19,3.241220951
2/15/20 5:28,0.0034582,,2/15/20 5:28,0.9936279,,2/15/20 5:28,0.0476382,,2/15/20 5:28,0.0103502,,2/15/20 5:28,0.0033041,,2/15/20 5:29,65.88819771,,2/15/20 5:28,0.0503932,,2/15/20 5:28,0.0116325,,2/15/20 5:28,0.003348,,2/15/20 5:29,65.88819771,,2/15/20 5:28,0.0017188,,2/15/20 5:28,0.9723627,,2/15/20 5:29,3.241611719
2/15/20 5:38,0.0014652,,2/15/20 5:38,0.9791234,,2/15/20 5:38,0.0392119,,2/15/20 5:38,0.0065931,,2/15/20 5:38,0.0028593,,2/15/20 5:38,65.84923401,,2/15/20 5:38,0.0428264,,2/15/20 5:38,0.0100441,,2/15/20 5:38,0.0021837,,2/15/20 5:38,65.84923401,,2/15/20 5:38,0.0024722,,2/15/20 5:38,0.955463,,2/15/20 5:38,3.241123438
2/15/20 5:49,0.0031839,,2/15/20 5:49,0.9771959,,2/15/20 5:49,0.0512568,,2/15/20 5:49,0.0126929,,2/15/20 5:49,0.0033635,,2/15/20 5:49,66.04411087,,2/15/20 5:49,0.0557567,,2/15/20 5:49,0.0107987,,2/15/20 5:49,0.0033268,,2/15/20 5:49,66.04411087,,2/15/20 5:49,0.0025862,,2/15/20 5:49,0.9422214,,2/15/20 5:49,3.241025686
2/15/20 5:59,0.0019878,,2/15/20 5:59,0.9886914,,2/15/20 5:59,0.0404826,,2/15/20 5:59,0.0115368,,2/15/20 5:59,0.003045,,2/15/20 5:59,65.1086731,,2/15/20 5:59,0.0478572,,2/15/20 5:59,0.0087666,,2/15/20 5:59,0.0033616,,2/15/20 5:59,65.1086731,,2/15/20 5:59,0.0026022,,2/15/20 5:59,0.9598683,,2/15/20 5:59,3.240830421
2/15/20 6:09,0.0019845,,2/15/20 6:09,1.0047609,,2/15/20 6:09,0.0469723,,2/15/20 6:09,0.0081826,,2/15/20 6:09,0.0032069,,2/15/20 6:09,65.38148422,,2/15/20 6:09,0.042225,,2/15/20 6:09,0.0088353,,2/15/20 6:09,0.0029453,,2/15/20 6:09,65.38148422,,2/15/20 6:09,0.0028113,,2/15/20 6:09,0.9023525,,2/15/20 6:09,3.241025686
2/15/20 6:19,0.0015766,,2/15/20 6:19,0.9887029,,2/15/20 6:19,0.036805,,2/15/20 6:19,0.0076532,,2/15/20 6:19,0.0028643,,2/15/20 6:19,65.38148422,,2/15/20 6:19,0.0484841,,2/15/20 6:19,0.0097594,,2/15/20 6:19,0.0025366,,2/15/20 6:19,65.38148422,,2/15/20 6:19,0.0019481,,2/15/20 6:19,1.0031996,,2/15/20 6:19,3.241025686
2/15/20 6:28,0.0012909,,2/15/20 6:28,1.0192137,,2/15/20 6:28,0.0416833,,2/15/20 6:28,0.0063868,,2/15/20 6:28,0.0028366,,2/15/20 6:29,65.14764023,,2/15/20 6:28,0.0470419,,2/15/20 6:28,0.0101285,,2/15/20 6:28,0.002266,,2/15/20 6:29,65.14764023,,2/15/20 6:28,0.0025024,,2/15/20 6:28,0.934936,,2/15/20 6:29,3.240830421
2/15/20 6:38,0.0019681,,2/15/20 6:38,0.9555168,,2/15/20 6:38,0.0437924,,2/15/20 6:38,0.0114875,,2/15/20 6:38,0.0031793,,2/15/20 6:38,64.99172363,,2/15/20 6:38,0.047875,,2/15/20 6:38,0.014829,,2/15/20 6:38,0.0033244,,2/15/20 6:38,64.99172363,,2/15/20 6:38,0.0020307,,2/15/20 6:38,0.9412167,,2/15/20 6:38,3.240634918
