Machines > Bridgeport Mill 1 > Spindle > X-Axial > Peak Acceleration,,,Machines > Bridgeport Mill 1 > Spindle > X-Axial > Peak Velocity,,,Machines > Bridgeport Mill 1 > Spindle > X-Axial > Band 1,,,Machines > Bridgeport Mill 1 > Spindle > X-Axial > Damage Accumulation,,,Machines > Bridgeport Mill 1 > Spindle > Y-Radial > RMS Velocity,,,Machines > Bridgeport Mill 1 > Spindle > Y-Radial > Temperature,,,Machines > Bridgeport Mill 1 > Spindle > X-Axial > RMS Velocity,,,Machines > Bridgeport Mill 1 > Spindle > X-Axial > Temperature,,,Machines > Bridgeport Mill 1 > Spindle > Y-Radial > Peak Acceleration,,,Machines > Bridgeport Mill 1 > Spindle > Y-Radial > Peak Velocity,,,Machines > Bridgeport Mill 1 > Spindle > Y-Radial > Band 1,,,Machines > Bridgeport Mill 1 > Spindle > Y-Radial > Damage Accumulation,,,Machines > Bridgeport Mill 1 > Spindle > Battery Voltage,
Time (UTC), Avg(g),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(Damage),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(ChrW(186)F),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(°F),,Time (UTC), Avg(g),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(Damage),,Time (UTC), Avg(V)
2/22/20 5:09,0.0489516,,2/22/20 5:09,0.0117905,,2/22/20 5:09,0.0022285,,2/22/20 5:09,0.9488989,,2/22/20 5:09,0.0034012,,2/22/20 5:00,65.06970596,,2/22/20 5:09,0.0032923,,2/22/20 5:00,65.06970596,,2/22/20 5:09,0.0469202,,2/22/20 5:09,0.010481,,2/22/20 5:09,0.0035139,,2/22/20 5:09,0.9624555,,2/22/20 5:00,3.15995121
2/22/20 5:19,0.0525668,,2/22/20 5:19,0.0104037,,2/22/20 5:19,0.0020892,,2/22/20 5:19,0.9400265,,2/22/20 5:19,0.002929,,2/22/20 5:10,64.91378937,,2/22/20 5:19,0.003018,,2/22/20 5:10,64.91378937,,2/22/20 5:19,0.0384346,,2/22/20 5:19,0.0100425,,2/22/20 5:19,0.002155,,2/22/20 5:19,0.9646303,,2/22/20 5:10,3.159755945
2/22/20 5:29,0.0441432,,2/22/20 5:29,0.0100513,,2/22/20 5:29,0.0023452,,2/22/20 5:29,0.9441742,,2/22/20 5:29,0.0025948,,2/22/20 5:19,64.83580704,,2/22/20 5:29,0.0037109,,2/22/20 5:19,64.83580704,,2/22/20 5:29,0.0397786,,2/22/20 5:29,0.0079843,,2/22/20 5:29,0.0016761,,2/22/20 5:29,0.9302244,,2/22/20 5:19,3.160048962
2/22/20 5:38,0.0451947,,2/22/20 5:38,0.0105998,,2/22/20 5:38,0.0035177,,2/22/20 5:38,0.9461115,,2/22/20 5:38,0.0030332,,2/22/20 5:29,64.75787277,,2/22/20 5:38,0.0035163,,2/22/20 5:29,64.75787277,,2/22/20 5:38,0.0479756,,2/22/20 5:38,0.0098422,,2/22/20 5:38,0.0017063,,2/22/20 5:38,0.9776447,,2/22/20 5:29,3.159755945
2/22/20 5:49,0.0438289,,2/22/20 5:49,0.009189,,2/22/20 5:49,0.0031621,,2/22/20 5:49,0.9575291,,2/22/20 5:49,0.0030137,,2/22/20 5:39,64.75787277,,2/22/20 5:49,0.0034612,,2/22/20 5:39,64.75787277,,2/22/20 5:49,0.0430736,,2/22/20 5:49,0.0083185,,2/22/20 5:49,0.0019305,,2/22/20 5:49,0.9751995,,2/22/20 5:39,3.159755945
2/22/20 5:59,0.0398699,,2/22/20 5:59,0.0083558,,2/22/20 5:59,0.0015423,,2/22/20 5:59,0.9544531,,2/22/20 5:59,0.0032967,,2/22/20 5:50,64.87482224,,2/22/20 5:59,0.0031908,,2/22/20 5:50,64.87482224,,2/22/20 5:59,0.0444625,,2/22/20 5:59,0.0097516,,2/22/20 5:59,0.0026521,,2/22/20 5:59,1.0272455,,2/22/20 5:50,3.160146475
2/22/20 6:09,0.0477509,,2/22/20 6:09,0.0099396,,2/22/20 6:09,0.0034764,,2/22/20 6:09,0.9493317,,2/22/20 6:09,0.0025856,,2/22/20 6:00,64.64092331,,2/22/20 6:09,0.0034003,,2/22/20 6:00,64.64092331,,2/22/20 6:09,0.0439153,,2/22/20 6:09,0.0084116,,2/22/20 6:09,0.001726,,2/22/20 6:09,0.9750614,,2/22/20 6:00,3.160244226
2/22/20 6:19,0.0485882,,2/22/20 6:19,0.0086772,,2/22/20 6:19,0.0022382,,2/22/20 6:19,0.9765001,,2/22/20 6:19,0.0029135,,2/22/20 6:10,64.29017792,,2/22/20 6:19,0.0030002,,2/22/20 6:10,64.29017792,,2/22/20 6:19,0.048379,,2/22/20 6:19,0.009187,,2/22/20 6:19,0.0018751,,2/22/20 6:19,0.9637155,,2/22/20 6:10,3.159853458
2/22/20 6:29,0.047804,,2/22/20 6:29,0.0093842,,2/22/20 6:29,0.0035674,,2/22/20 6:29,0.9598116,,2/22/20 6:29,0.0027943,,2/22/20 6:19,64.44604301,,2/22/20 6:29,0.0031432,,2/22/20 6:19,64.44604301,,2/22/20 6:29,0.0415942,,2/22/20 6:29,0.0082381,,2/22/20 6:29,0.001841,,2/22/20 6:29,0.9816031,,2/22/20 6:19,3.15946269
2/22/20 6:39,0.0431684,,2/22/20 6:39,0.0082242,,2/22/20 6:39,0.002048,,2/22/20 6:39,0.9345393,,2/22/20 6:39,0.0031689,,2/22/20 6:29,64.64092331,,2/22/20 6:39,0.0029754,,2/22/20 6:29,64.64092331,,2/22/20 6:39,0.041839,,2/22/20 6:39,0.0112597,,2/22/20 6:39,0.0028666,,2/22/20 6:39,0.9526515,,2/22/20 6:29,3.159657955
2/22/20 6:48,0.0421802,,2/22/20 6:48,0.0099477,,2/22/20 6:48,0.0023797,,2/22/20 6:48,1.0155704,,2/22/20 6:48,0.0026115,,2/22/20 6:39,64.44604301,,2/22/20 6:48,0.0029674,,2/22/20 6:39,64.44604301,,2/22/20 6:48,0.0477682,,2/22/20 6:48,0.0093031,,2/22/20 6:48,0.0019878,,2/22/20 6:48,0.9729326,,2/22/20 6:39,3.159755945
2/22/20 6:59,0.0458682,,2/22/20 6:59,0.0105709,,2/22/20 6:59,0.0017748,,2/22/20 6:59,0.979406,,2/22/20 6:59,0.0026581,,2/22/20 6:49,64.44604301,,2/22/20 6:59,0.0032508,,2/22/20 6:49,64.44604301,,2/22/20 6:59,0.0442818,,2/22/20 6:59,0.0076468,,2/22/20 6:59,0.0017429,,2/22/20 6:59,0.9977186,,2/22/20 6:49,3.159560442
