Machines > Bridgeport Mill 2 > Spindle > Y-Radial > Band 1,,,Machines > Bridgeport Mill 2 > Spindle > Y-Radial > Damage Accumulation,,,Machines > Bridgeport Mill 2 > Spindle > X-Axial > Peak Acceleration,,,Machines > Bridgeport Mill 2 > Spindle > X-Axial > Peak Velocity,,,Machines > Bridgeport Mill 2 > Spindle > X-Axial > RMS Velocity,,,Machines > Bridgeport Mill 2 > Spindle > X-Axial > Temperature,,,Machines > Bridgeport Mill 2 > Spindle > X-Axial > Band 1,,,Machines > Bridgeport Mill 2 > Spindle > X-Axial > Damage Accumulation,,,Machines > Bridgeport Mill 2 > Spindle > Y-Radial > Peak Acceleration,,,Machines > Bridgeport Mill 2 > Spindle > Y-Radial > Peak Velocity,,,Machines > Bridgeport Mill 2 > Spindle > Y-Radial > RMS Velocity,,,Machines > Bridgeport Mill 2 > Spindle > Y-Radial > Temperature,,,Machines > Bridgeport Mill 2 > Spindle > Battery Voltage,
Time (UTC), Avg(in/sec),,Time (UTC), Avg(Damage),,Time (UTC), Avg(g),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(ChrW(186)F),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(Damage),,Time (UTC), Avg(g),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(°F),,Time (UTC), Avg(V)
2/15/20 5:02,0.0026596,,2/15/20 5:02,1.0012481,,2/15/20 5:02,0.0436155,,2/15/20 5:02,0.0075055,,2/15/20 5:02,0.0028338,,2/15/20 5:03,64.01565018,,2/15/20 5:02,0.0020844,,2/15/20 5:02,0.9706077,,2/15/20 5:02,0.0421384,,2/15/20 5:02,0.0089599,,2/15/20 5:02,0.0030537,,2/15/20 5:03,64.01565018,,2/15/20 5:03,3.219633818
2/15/20 5:12,0.0021423,,2/15/20 5:12,1.0113088,,2/15/20 5:12,0.0400934,,2/15/20 5:12,0.0096137,,2/15/20 5:12,0.0033005,,2/15/20 5:12,64.12135925,,2/15/20 5:12,0.0014178,,2/15/20 5:12,0.9460466,,2/15/20 5:12,0.0479212,,2/15/20 5:12,0.0069609,,2/15/20 5:12,0.0027021,,2/15/20 5:12,64.12135925,,2/15/20 5:12,3.219926596
2/15/20 5:22,0.0020929,,2/15/20 5:22,1.0060244,,2/15/20 5:22,0.0501839,,2/15/20 5:22,0.0108988,,2/15/20 5:22,0.003302,,2/15/20 5:22,64.15658417,,2/15/20 5:22,0.0031308,,2/15/20 5:22,0.9926581,,2/15/20 5:22,0.0399028,,2/15/20 5:22,0.0083008,,2/15/20 5:22,0.0027271,,2/15/20 5:22,64.15658417,,2/15/20 5:22,3.220512867
2/15/20 5:32,0.0013786,,2/15/20 5:32,1.0468393,,2/15/20 5:32,0.0428044,,2/15/20 5:32,0.0083259,,2/15/20 5:32,0.0030194,,2/15/20 5:32,63.55766792,,2/15/20 5:32,0.0020835,,2/15/20 5:32,0.9685969,,2/15/20 5:32,0.0472512,,2/15/20 5:32,0.0075094,,2/15/20 5:32,0.0026049,,2/15/20 5:32,63.55766792,,2/15/20 5:32,3.21924305
2/15/20 5:41,0.0021011,,2/15/20 5:41,1.006766,,2/15/20 5:41,0.040209,,2/15/20 5:41,0.0092112,,2/15/20 5:41,0.0032804,,2/15/20 5:42,63.80426979,,2/15/20 5:41,0.0030232,,2/15/20 5:41,1.0205947,,2/15/20 5:41,0.0408278,,2/15/20 5:41,0.0099562,,2/15/20 5:41,0.0028075,,2/15/20 5:42,63.80426979,,2/15/20 5:42,3.219438314
2/15/20 5:52,0.0028645,,2/15/20 5:52,0.9891671,,2/15/20 5:52,0.0416873,,2/15/20 5:52,0.0090925,,2/15/20 5:52,0.0029622,,2/15/20 5:53,63.6633358,,2/15/20 5:52,0.0018428,,2/15/20 5:52,1.003425,,2/15/20 5:52,0.0381945,,2/15/20 5:52,0.0109379,,2/15/20 5:52,0.0031684,,2/15/20 5:53,63.6633358,,2/15/20 5:53,3.219145298
2/15/20 6:02,0.0032986,,2/15/20 6:02,1.0296492,,2/15/20 6:02,0.0449384,,2/15/20 6:02,0.0102144,,2/15/20 6:02,0.0031445,,2/15/20 6:02,63.38151245,,2/15/20 6:02,0.0020748,,2/15/20 6:02,0.996893,,2/15/20 6:02,0.0431993,,2/15/20 6:02,0.0098193,,2/15/20 6:02,0.0035342,,2/15/20 6:02,63.38151245,,2/15/20 6:02,3.219047546
2/15/20 6:12,0.0025384,,2/15/20 6:12,0.9961915,,2/15/20 6:12,0.0484401,,2/15/20 6:12,0.0126086,,2/15/20 6:12,0.0036822,,2/15/20 6:12,63.34624634,,2/15/20 6:12,0.0037474,,2/15/20 6:12,0.9250745,,2/15/20 6:12,0.0441732,,2/15/20 6:12,0.0093663,,2/15/20 6:12,0.0032128,,2/15/20 6:12,63.34624634,,2/15/20 6:12,3.218852282
2/15/20 6:22,0.002007,,2/15/20 6:22,0.9343211,,2/15/20 6:22,0.0416153,,2/15/20 6:22,0.0100104,,2/15/20 6:22,0.0032397,,2/15/20 6:22,63.48718033,,2/15/20 6:22,0.0012521,,2/15/20 6:22,1.0245656,,2/15/20 6:22,0.0385934,,2/15/20 6:22,0.0077404,,2/15/20 6:22,0.0030123,,2/15/20 6:22,63.48718033,,2/15/20 6:22,3.218559265
2/15/20 6:32,0.003052,,2/15/20 6:32,1.0221168,,2/15/20 6:32,0.0472846,,2/15/20 6:32,0.0094322,,2/15/20 6:32,0.0034894,,2/15/20 6:32,63.20535355,,2/15/20 6:32,0.0022077,,2/15/20 6:32,1.008317,,2/15/20 6:32,0.0482001,,2/15/20 6:32,0.0084066,,2/15/20 6:32,0.0030194,,2/15/20 6:32,63.20535355,,2/15/20 6:32,3.218461514
2/15/20 6:42,0.0017232,,2/15/20 6:42,1.0106022,,2/15/20 6:42,0.0399465,,2/15/20 6:42,0.0116321,,2/15/20 6:42,0.0034735,,2/15/20 6:42,63.27579994,,2/15/20 6:42,0.0026429,,2/15/20 6:42,0.9981286,,2/15/20 6:42,0.0399956,,2/15/20 6:42,0.007103,,2/15/20 6:42,0.0025845,,2/15/20 6:42,63.27579994,,2/15/20 6:42,3.218168497
2/15/20 6:51,0.0019094,,2/15/20 6:51,1.0401594,,2/15/20 6:51,0.0436958,,2/15/20 6:51,0.0106002,,2/15/20 6:51,0.0029894,,2/15/20 6:52,63.17008743,,2/15/20 6:51,0.0022165,,2/15/20 6:51,0.9822001,,2/15/20 6:51,0.0510678,,2/15/20 6:51,0.0093998,,2/15/20 6:51,0.0027985,,2/15/20 6:52,63.17008743,,2/15/20 6:52,3.217289448
2/15/20 7:02,0.0021724,,2/15/20 7:02,1.030998,,2/15/20 7:02,0.0394876,,2/15/20 7:02,0.0088133,,2/15/20 7:02,0.0026493,,2/15/20 7:02,63.06441956,,2/15/20 7:02,0.0012977,,2/15/20 7:02,0.9827056,,2/15/20 7:02,0.0429767,,2/15/20 7:02,0.0087926,,2/15/20 7:02,0.0029431,,2/15/20 7:02,63.06441956,,2/15/20 7:02,3.217582464
2/15/20 7:12,0.0020059,,2/15/20 7:12,1.0595976,,2/15/20 7:12,0.0405422,,2/15/20 7:12,0.0113018,,2/15/20 7:12,0.0033806,,2/15/20 7:12,62.92348557,,2/15/20 7:12,0.002126,,2/15/20 7:12,0.9834414,,2/15/20 7:12,0.0395184,,2/15/20 7:12,0.010546,,2/15/20 7:12,0.0029802,,2/15/20 7:12,62.92348557,,2/15/20 7:12,3.217093945
2/15/20 7:22,0.0032185,,2/15/20 7:22,1.0171069,,2/15/20 7:22,0.0479894,,2/15/20 7:22,0.0135288,,2/15/20 7:22,0.0038802,,2/15/20 7:23,62.92348557,,2/15/20 7:22,0.0042302,,2/15/20 7:22,0.9691754,,2/15/20 7:22,0.046333,,2/15/20 7:22,0.0100411,,2/15/20 7:22,0.0036301,,2/15/20 7:23,62.92348557,,2/15/20 7:23,3.216703415
2/15/20 7:32,0.0030164,,2/15/20 7:32,1.0015926,,2/15/20 7:32,0.044997,,2/15/20 7:32,0.0107172,,2/15/20 7:32,0.0035668,,2/15/20 7:33,62.6768837,,2/15/20 7:32,0.002517,,2/15/20 7:32,0.986025,,2/15/20 7:32,0.0520311,,2/15/20 7:32,0.008303,,2/15/20 7:32,0.0028392,,2/15/20 7:33,62.6768837,,2/15/20 7:33,3.217093945
2/15/20 7:42,0.0022714,,2/15/20 7:42,0.9957127,,2/15/20 7:42,0.0388704,,2/15/20 7:42,0.0080712,,2/15/20 7:42,0.002674,,2/15/20 7:43,62.92348557,,2/15/20 7:42,0.0020756,,2/15/20 7:42,0.9660077,,2/15/20 7:42,0.0478661,,2/15/20 7:42,0.0104089,,2/15/20 7:42,0.0029734,,2/15/20 7:43,62.92348557,,2/15/20 7:43,3.216605663
2/15/20 7:52,0.003201,,2/15/20 7:52,1.0069937,,2/15/20 7:52,0.0468679,,2/15/20 7:52,0.0100158,,2/15/20 7:52,0.0030244,,2/15/20 7:53,62.8530426,,2/15/20 7:52,0.0019544,,2/15/20 7:52,1.0229649,,2/15/20 7:52,0.0480778,,2/15/20 7:52,0.0091515,,2/15/20 7:52,0.0030717,,2/15/20 7:53,62.8530426,,2/15/20 7:53,3.216117144
2/15/20 8:02,0.00165,,2/15/20 8:02,1.0010437,,2/15/20 8:01,0.0451893,,2/15/20 8:01,0.0087152,,2/15/20 8:01,0.0027852,,2/15/20 8:02,62.8530426,,2/15/20 8:01,0.002302,,2/15/20 8:01,1.0045651,,2/15/20 8:02,0.0452225,,2/15/20 8:02,0.0086697,,2/15/20 8:02,0.0027169,,2/15/20 8:02,62.8530426,,2/15/20 8:02,3.216019392
2/15/20 8:12,0.0020189,,2/15/20 8:12,1.0138429,,2/15/20 8:12,0.0422782,,2/15/20 8:12,0.0097612,,2/15/20 8:12,0.003176,,2/15/20 8:13,62.74733009,,2/15/20 8:12,0.001889,,2/15/20 8:12,1.0235883,,2/15/20 8:12,0.046429,,2/15/20 8:12,0.0103924,,2/15/20 8:12,0.0032065,,2/15/20 8:13,62.74733009,,2/15/20 8:13,3.215335846
2/15/20 8:22,0.0012797,,2/15/20 8:22,1.0147888,,2/15/20 8:22,0.0413594,,2/15/20 8:22,0.00891,,2/15/20 8:22,0.0030627,,2/15/20 8:23,62.74733009,,2/15/20 8:22,0.002331,,2/15/20 8:22,1.0506543,,2/15/20 8:22,0.0481671,,2/15/20 8:22,0.0096625,,2/15/20 8:22,0.002823,,2/15/20 8:23,62.74733009,,2/15/20 8:23,3.215335846
2/15/20 8:32,0.0020294,,2/15/20 8:32,0.9789372,,2/15/20 8:32,0.0373155,,2/15/20 8:32,0.0108492,,2/15/20 8:32,0.0035318,,2/15/20 8:33,62.6063961,,2/15/20 8:32,0.0015163,,2/15/20 8:32,0.9635814,,2/15/20 8:32,0.0469339,,2/15/20 8:32,0.0102456,,2/15/20 8:32,0.0030745,,2/15/20 8:33,62.6063961,,2/15/20 8:33,3.215921879
2/15/20 8:42,0.0023585,,2/15/20 8:42,1.0118576,,2/15/20 8:42,0.0438816,,2/15/20 8:42,0.0094724,,2/15/20 8:42,0.0029044,,2/15/20 8:43,62.6063961,,2/15/20 8:42,0.0014814,,2/15/20 8:42,0.9526629,,2/15/20 8:42,0.0493961,,2/15/20 8:42,0.0099477,,2/15/20 8:42,0.0028703,,2/15/20 8:43,62.6063961,,2/15/20 8:43,3.214945078
2/15/20 8:52,0.0017569,,2/15/20 8:52,1.001867,,2/15/20 8:52,0.0429054,,2/15/20 8:52,0.0095873,,2/15/20 8:52,0.00331,,2/15/20 8:53,62.43024063,,2/15/20 8:52,0.0024526,,2/15/20 8:52,0.97901,,2/15/20 8:52,0.0432896,,2/15/20 8:52,0.0081479,,2/15/20 8:52,0.0027765,,2/15/20 8:53,62.43024063,,2/15/20 8:53,3.214749813
2/15/20 9:02,0.0031586,,2/15/20 9:02,1.0600005,,2/15/20 9:02,0.0523222,,2/15/20 9:02,0.0093547,,2/15/20 9:02,0.0029294,,2/15/20 9:02,62.28930664,,2/15/20 9:02,0.0025406,,2/15/20 9:02,1.0003134,,2/15/20 9:02,0.0431734,,2/15/20 9:02,0.0089389,,2/15/20 9:02,0.0028767,,2/15/20 9:02,62.28930664,,2/15/20 9:02,3.21455431
2/15/20 9:12,0.0016692,,2/15/20 9:12,1.0620091,,2/15/20 9:12,0.0462575,,2/15/20 9:12,0.0096007,,2/15/20 9:12,0.0033518,,2/15/20 9:12,62.43024063,,2/15/20 9:12,0.0028814,,2/15/20 9:12,0.9751683,,2/15/20 9:12,0.0426236,,2/15/20 9:12,0.0084868,,2/15/20 9:12,0.0029086,,2/15/20 9:12,62.43024063,,2/15/20 9:12,3.214261293
2/15/20 9:22,0.0017528,,2/15/20 9:22,1.0524798,,2/15/20 9:22,0.0449342,,2/15/20 9:22,0.0125599,,2/15/20 9:22,0.0037665,,2/15/20 9:23,62.43024063,,2/15/20 9:22,0.0028957,,2/15/20 9:22,0.9697371,,2/15/20 9:22,0.0483143,,2/15/20 9:22,0.0082913,,2/15/20 9:22,0.0026272,,2/15/20 9:23,62.43024063,,2/15/20 9:23,3.21406579
2/15/20 9:32,0.0022329,,2/15/20 9:32,0.9729171,,2/15/20 9:32,0.0483635,,2/15/20 9:32,0.0114029,,2/15/20 9:32,0.0028127,,2/15/20 9:33,62.71210861,,2/15/20 9:32,0.0020951,,2/15/20 9:32,1.0219314,,2/15/20 9:32,0.0456548,,2/15/20 9:32,0.010189,,2/15/20 9:32,0.0031391,,2/15/20 9:33,62.71210861,,2/15/20 9:33,3.214163542
2/15/20 9:42,0.0025314,,2/15/20 9:42,0.9765081,,2/15/20 9:42,0.0473182,,2/15/20 9:42,0.0104271,,2/15/20 9:42,0.0035017,,2/15/20 9:43,62.35979424,,2/15/20 9:42,0.0022157,,2/15/20 9:42,1.0091482,,2/15/20 9:42,0.0361572,,2/15/20 9:42,0.0102421,,2/15/20 9:42,0.0033535,,2/15/20 9:43,62.35979424,,2/15/20 9:43,3.214359045
2/15/20 9:52,0.0035321,,2/15/20 9:52,1.0051252,,2/15/20 9:52,0.0481479,,2/15/20 9:52,0.0119349,,2/15/20 9:52,0.0032304,,2/15/20 9:53,62.25408173,,2/15/20 9:52,0.0034145,,2/15/20 9:52,0.9853285,,2/15/20 9:52,0.0448458,,2/15/20 9:52,0.0090621,,2/15/20 9:52,0.0032429,,2/15/20 9:53,62.25408173,,2/15/20 9:53,3.213773012
