Machines > Bridgeport Mill 2 > Spindle > Y-Radial > Peak Acceleration,,,Machines > Bridgeport Mill 2 > Spindle > Y-Radial > Peak Velocity,,,Machines > Bridgeport Mill 2 > Spindle > X-Axial > Band 1,,,Machines > Bridgeport Mill 2 > Spindle > X-Axial > Damage Accumulation,,,Machines > Bridgeport Mill 2 > Spindle > X-Axial > RMS Velocity,,,Machines > Bridgeport Mill 2 > Spindle > X-Axial > Temperature,,,Machines > Bridgeport Mill 2 > Spindle > X-Axial > Peak Acceleration,,,Machines > Bridgeport Mill 2 > Spindle > X-Axial > Peak Velocity,,,Machines > Bridgeport Mill 2 > Spindle > Y-Radial > RMS Velocity,,,Machines > Bridgeport Mill 2 > Spindle > Y-Radial > Temperature,,,Machines > Bridgeport Mill 2 > Spindle > Y-Radial > Band 1,,,Machines > Bridgeport Mill 2 > Spindle > Y-Radial > Damage Accumulation,,,Machines > Bridgeport Mill 2 > Spindle > Battery Voltage,
Time (UTC), Avg(g),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(Damage),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(ChrW(186)F),,Time (UTC), Avg(g),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(°F),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(Damage),,Time (UTC), Avg(V)
2/22/20 5:03,0.0456576,,2/22/20 5:03,0.0113858,,2/22/20 5:03,0.0029326,,2/22/20 5:03,0.9808297,,2/22/20 5:03,0.0030976,,2/22/20 5:03,66.12952957,,2/22/20 5:03,0.0447092,,2/22/20 5:03,0.0100184,,2/22/20 5:03,0.0033493,,2/22/20 5:03,66.12952957,,2/22/20 5:03,0.0026306,,2/22/20 5:03,1.016704,,2/22/20 5:03,3.124297857
2/22/20 5:13,0.0421201,,2/22/20 5:13,0.0108537,,2/22/20 5:12,0.002325,,2/22/20 5:12,0.9928659,,2/22/20 5:12,0.0029783,,2/22/20 5:13,65.95337067,,2/22/20 5:12,0.0405616,,2/22/20 5:12,0.0097108,,2/22/20 5:13,0.0028866,,2/22/20 5:13,65.95337067,,2/22/20 5:13,0.0015291,,2/22/20 5:13,1.0091133,,2/22/20 5:13,3.123907328
2/22/20 5:22,0.0402553,,2/22/20 5:22,0.0100363,,2/22/20 5:22,0.0025605,,2/22/20 5:22,0.9602508,,2/22/20 5:22,0.003262,,2/22/20 5:23,65.49539185,,2/22/20 5:22,0.0466969,,2/22/20 5:22,0.0102373,,2/22/20 5:22,0.0034977,,2/22/20 5:23,65.49539185,,2/22/20 5:22,0.0025387,,2/22/20 5:22,0.9850623,,2/22/20 5:23,3.123614311
2/22/20 5:32,0.0462296,,2/22/20 5:32,0.0097407,,2/22/20 5:32,0.0017535,,2/22/20 5:32,1.061101,,2/22/20 5:32,0.0027271,,2/22/20 5:33,65.03736496,,2/22/20 5:32,0.0458185,,2/22/20 5:32,0.0093861,,2/22/20 5:32,0.0030024,,2/22/20 5:33,65.03736496,,2/22/20 5:32,0.0020666,,2/22/20 5:32,1.0480771,,2/22/20 5:33,3.123907328
2/22/20 5:43,0.039658,,2/22/20 5:43,0.0100177,,2/22/20 5:43,0.0023079,,2/22/20 5:43,0.9290398,,2/22/20 5:43,0.0031424,,2/22/20 5:44,65.10781136,,2/22/20 5:43,0.044019,,2/22/20 5:43,0.0096817,,2/22/20 5:43,0.0032019,,2/22/20 5:44,65.10781136,,2/22/20 5:43,0.002026,,2/22/20 5:43,0.9845018,,2/22/20 5:44,3.124004841
2/22/20 5:53,0.0498404,,2/22/20 5:53,0.0089245,,2/22/20 5:53,0.0019973,,2/22/20 5:53,1.0227514,,2/22/20 5:53,0.0034543,,2/22/20 5:54,64.57934151,,2/22/20 5:53,0.0452912,,2/22/20 5:53,0.009912,,2/22/20 5:53,0.0034389,,2/22/20 5:54,64.57934151,,2/22/20 5:53,0.0023748,,2/22/20 5:53,1.0218599,,2/22/20 5:54,3.123907328
2/22/20 6:03,0.0450261,,2/22/20 6:03,0.0079563,,2/22/20 6:03,0.0031321,,2/22/20 6:03,0.9965279,,2/22/20 6:03,0.0031219,,2/22/20 6:03,64.93165588,,2/22/20 6:03,0.0471831,,2/22/20 6:03,0.0105854,,2/22/20 6:03,0.0028379,,2/22/20 6:03,64.93165588,,2/22/20 6:03,0.0026444,,2/22/20 6:03,1.0044537,,2/22/20 6:03,3.123907328
2/22/20 6:13,0.0507474,,2/22/20 6:13,0.0090476,,2/22/20 6:13,0.0018492,,2/22/20 6:13,0.9920347,,2/22/20 6:13,0.0028772,,2/22/20 6:13,64.6498291,,2/22/20 6:13,0.0463122,,2/22/20 6:13,0.0084695,,2/22/20 6:13,0.0031938,,2/22/20 6:13,64.6498291,,2/22/20 6:13,0.0030525,,2/22/20 6:13,0.9783357,,2/22/20 6:13,3.124004841
2/22/20 6:22,0.0402028,,2/22/20 6:22,0.0102771,,2/22/20 6:23,0.0033505,,2/22/20 6:23,1.0243072,,2/22/20 6:23,0.0028972,,2/22/20 6:23,64.40318604,,2/22/20 6:23,0.0481441,,2/22/20 6:23,0.0088889,,2/22/20 6:22,0.0031664,,2/22/20 6:23,64.40318604,,2/22/20 6:22,0.003062,,2/22/20 6:22,1.0065091,,2/22/20 6:23,3.123418808
