Machines > Bridgeport Mill 3 > Spindle > X-Axial > RMS Velocity,,,Machines > Bridgeport Mill 3 > Spindle > X-Axial > Temperature,,,Machines > Bridgeport Mill 3 > Spindle > X-Axial > Band 1,,,Machines > Bridgeport Mill 3 > Spindle > X-Axial > Damage Accumulation,,,Machines > Bridgeport Mill 3 > Spindle > Y-Radial > Peak Acceleration,,,Machines > Bridgeport Mill 3 > Spindle > Y-Radial > Peak Velocity,,,Machines > Bridgeport Mill 3 > Spindle > Y-Radial > RMS Velocity,,,Machines > Bridgeport Mill 3 > Spindle > Y-Radial > Temperature,,,Machines > Bridgeport Mill 3 > Spindle > Y-Radial > Band 1,,,Machines > Bridgeport Mill 3 > Spindle > Y-Radial > Damage Accumulation,,,Machines > Bridgeport Mill 3 > Spindle > Battery Voltage,,,Machines > Bridgeport Mill 3 > Spindle > X-Axial > Peak Acceleration,,,Machines > Bridgeport Mill 3 > Spindle > X-Axial > Peak Velocity,
Time (UTC), Avg(in/sec),,Time (UTC), Avg(ChrW(186)F),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(Damage),,Time (UTC), Avg(g),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(°F),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(Damage),,Time (UTC), Avg(V),,Time (UTC), Avg(g),,Time (UTC), Avg(in/sec)
2/15/20 5:08,0.0056292,,2/15/20 5:09,63.08333321,,2/15/20 5:08,0.0032287,,2/15/20 5:08,0.9987726,,2/15/20 5:09,0.0402306,,2/15/20 5:09,0.0116185,,2/15/20 5:09,0.0042207,,2/15/20 5:09,63.08333321,,2/15/20 5:09,0.003376,,2/15/20 5:09,1.0356364,,2/15/20 5:09,3.233992815,,2/15/20 5:08,0.0488248,,2/15/20 5:08,0.0182531
2/15/20 5:18,0.0065285,,2/15/20 5:19,62.53333359,,2/15/20 5:18,0.0052199,,2/15/20 5:18,0.9852198,,2/15/20 5:18,0.0491428,,2/15/20 5:18,0.0144613,,2/15/20 5:18,0.0040188,,2/15/20 5:19,62.53333359,,2/15/20 5:18,0.0030283,,2/15/20 5:18,1.0158711,,2/15/20 5:19,3.233992815,,2/15/20 5:18,0.0463485,,2/15/20 5:18,0.0179986
2/15/20 5:28,0.0052802,,2/15/20 5:29,62.82668228,,2/15/20 5:28,0.0048614,,2/15/20 5:28,0.9585527,,2/15/20 5:28,0.0453545,,2/15/20 5:28,0.0154488,,2/15/20 5:28,0.0050041,,2/15/20 5:29,62.82668228,,2/15/20 5:28,0.0046084,,2/15/20 5:28,1.0365138,,2/15/20 5:29,3.233992815,,2/15/20 5:28,0.0508436,,2/15/20 5:28,0.0170912
2/15/20 5:38,0.0052979,,2/15/20 5:38,62.38665924,,2/15/20 5:38,0.0049413,,2/15/20 5:38,0.9788923,,2/15/20 5:38,0.0418329,,2/15/20 5:38,0.0173142,,2/15/20 5:38,0.004227,,2/15/20 5:38,62.38665924,,2/15/20 5:38,0.0033971,,2/15/20 5:38,1.0276595,,2/15/20 5:38,3.233992815,,2/15/20 5:38,0.0501895,,2/15/20 5:38,0.0163916
2/15/20 5:49,0.0057947,,2/15/20 5:49,62.90000229,,2/15/20 5:49,0.0038719,,2/15/20 5:49,0.992466,,2/15/20 5:49,0.0413265,,2/15/20 5:49,0.0121232,,2/15/20 5:49,0.0046653,,2/15/20 5:49,62.90000229,,2/15/20 5:49,0.002492,,2/15/20 5:49,1.051461,,2/15/20 5:49,3.233211279,,2/15/20 5:49,0.0537592,,2/15/20 5:49,0.0168194
2/15/20 5:59,0.0055098,,2/15/20 5:59,62.46002045,,2/15/20 5:59,0.0052751,,2/15/20 5:59,0.9725231,,2/15/20 5:59,0.0404136,,2/15/20 5:59,0.0134992,,2/15/20 5:59,0.0049552,,2/15/20 5:59,62.46002045,,2/15/20 5:59,0.003773,,2/15/20 5:59,1.0226582,,2/15/20 5:59,3.233016014,,2/15/20 5:59,0.050458,,2/15/20 5:59,0.0178514
2/15/20 6:09,0.0054847,,2/15/20 6:09,62.68000793,,2/15/20 6:09,0.0047706,,2/15/20 6:09,0.9828391,,2/15/20 6:09,0.0461433,,2/15/20 6:09,0.0132021,,2/15/20 6:09,0.0043745,,2/15/20 6:09,62.68000793,,2/15/20 6:09,0.0033434,,2/15/20 6:09,1.0349602,,2/15/20 6:09,3.232722759,,2/15/20 6:09,0.0439139,,2/15/20 6:09,0.0187069
2/15/20 6:19,0.0049681,,2/15/20 6:19,62.60664673,,2/15/20 6:19,0.0036812,,2/15/20 6:19,1.0140795,,2/15/20 6:19,0.0408374,,2/15/20 6:19,0.0150933,,2/15/20 6:19,0.0051765,,2/15/20 6:19,62.60664673,,2/15/20 6:19,0.0036893,,2/15/20 6:19,1.0309396,,2/15/20 6:19,3.23233223,,2/15/20 6:19,0.0473788,,2/15/20 6:19,0.0139165
2/15/20 6:28,0.004569,,2/15/20 6:29,62.90000229,,2/15/20 6:28,0.0034049,,2/15/20 6:28,0.9945125,,2/15/20 6:28,0.045374,,2/15/20 6:28,0.0138491,,2/15/20 6:28,0.0047082,,2/15/20 6:29,62.90000229,,2/15/20 6:28,0.0053432,,2/15/20 6:28,1.0325912,,2/15/20 6:29,3.232429743,,2/15/20 6:28,0.044236,,2/15/20 6:28,0.0131132
