Machines > Bridgeport Mill 3 > Spindle > X-Axial > Band 1,,,Machines > Bridgeport Mill 3 > Spindle > X-Axial > Damage Accumulation,,,Machines > Bridgeport Mill 3 > Spindle > X-Axial > Peak Acceleration,,,Machines > Bridgeport Mill 3 > Spindle > X-Axial > Peak Velocity,,,Machines > Bridgeport Mill 3 > Spindle > Y-Radial > Peak Acceleration,,,Machines > Bridgeport Mill 3 > Spindle > Y-Radial > Peak Velocity,,,Machines > Bridgeport Mill 3 > Spindle > X-Axial > RMS Velocity,,,Machines > Bridgeport Mill 3 > Spindle > X-Axial > Temperature,,,Machines > Bridgeport Mill 3 > Spindle > Y-Radial > RMS Velocity,,,Machines > Bridgeport Mill 3 > Spindle > Y-Radial > Temperature,,,Machines > Bridgeport Mill 3 > Spindle > Y-Radial > Band 1,,,Machines > Bridgeport Mill 3 > Spindle > Y-Radial > Damage Accumulation,,,Machines > Bridgeport Mill 3 > Spindle > Battery Voltage,
Time (UTC), Avg(in/sec),,Time (UTC), Avg(Damage),,Time (UTC), Avg(g),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(g),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(ChrW(186)F),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(°F),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(Damage),,Time (UTC), Avg(V)
2/22/20 5:09,0.0050943,,2/22/20 5:09,0.9780779,,2/22/20 5:09,0.0452678,,2/22/20 5:09,0.0161751,,2/22/20 5:09,0.0460333,,2/22/20 5:09,0.0144766,,2/22/20 5:09,0.005754,,2/22/20 5:00,66.78665619,,2/22/20 5:09,0.0042428,,2/22/20 5:00,66.78665619,,2/22/20 5:09,0.0031298,,2/22/20 5:09,1.0281525,,2/22/20 5:00,3.132405519
2/22/20 5:19,0.0023195,,2/22/20 5:19,1.0061859,,2/22/20 5:19,0.0526678,,2/22/20 5:19,0.0135892,,2/22/20 5:19,0.0430832,,2/22/20 5:19,0.0170832,,2/22/20 5:19,0.0045102,,2/22/20 5:10,66.23666,,2/22/20 5:19,0.005604,,2/22/20 5:10,66.23666,,2/22/20 5:19,0.0055411,,2/22/20 5:19,1.0183872,,2/22/20 5:10,3.132698536
2/22/20 5:29,0.0037051,,2/22/20 5:29,0.9886236,,2/22/20 5:29,0.0469644,,2/22/20 5:29,0.0145528,,2/22/20 5:29,0.0462461,,2/22/20 5:29,0.014942,,2/22/20 5:29,0.0051294,,2/22/20 5:19,66.05332565,,2/22/20 5:29,0.0044248,,2/22/20 5:19,66.05332565,,2/22/20 5:29,0.0020206,,2/22/20 5:29,1.0215124,,2/22/20 5:19,3.132503033
2/22/20 5:38,0.0044013,,2/22/20 5:38,0.9721055,,2/22/20 5:38,0.0430042,,2/22/20 5:38,0.0167727,,2/22/20 5:38,0.0441846,,2/22/20 5:38,0.0158449,,2/22/20 5:38,0.0046385,,2/22/20 5:29,66.12668686,,2/22/20 5:38,0.0050927,,2/22/20 5:29,66.12668686,,2/22/20 5:38,0.0037328,,2/22/20 5:38,1.0460545,,2/22/20 5:29,3.132307529
2/22/20 5:49,0.0036367,,2/22/20 5:49,1.0009026,,2/22/20 5:49,0.0472882,,2/22/20 5:49,0.013648,,2/22/20 5:49,0.0458598,,2/22/20 5:49,0.0146935,,2/22/20 5:49,0.0041236,,2/22/20 5:39,65.68665695,,2/22/20 5:49,0.005102,,2/22/20 5:39,65.68665695,,2/22/20 5:49,0.0034472,,2/22/20 5:49,1.0386067,,2/22/20 5:39,3.132698536
2/22/20 5:59,0.0027498,,2/22/20 5:59,0.9778273,,2/22/20 5:59,0.0451389,,2/22/20 5:59,0.0210478,,2/22/20 5:59,0.042044,,2/22/20 5:59,0.020966,,2/22/20 5:59,0.005479,,2/22/20 5:50,65.61334381,,2/22/20 5:59,0.005055,,2/22/20 5:50,65.61334381,,2/22/20 5:59,0.002812,,2/22/20 5:59,1.0449087,,2/22/20 5:50,3.132600784
2/22/20 6:09,0.0025806,,2/22/20 6:09,0.9551279,,2/22/20 6:09,0.0402609,,2/22/20 6:09,0.018712,,2/22/20 6:09,0.0463861,,2/22/20 6:09,0.0175416,,2/22/20 6:09,0.005473,,2/22/20 6:00,65.24667511,,2/22/20 6:09,0.0053889,,2/22/20 6:00,65.24667511,,2/22/20 6:09,0.0029828,,2/22/20 6:09,1.0361267,,2/22/20 6:00,3.132014513
2/22/20 6:19,0.0046836,,2/22/20 6:19,1.0042856,,2/22/20 6:19,0.0484394,,2/22/20 6:19,0.0183582,,2/22/20 6:19,0.0454973,,2/22/20 6:19,0.0153839,,2/22/20 6:19,0.0057099,,2/22/20 6:10,65.02668419,,2/22/20 6:19,0.0049602,,2/22/20 6:10,65.02668419,,2/22/20 6:19,0.0044121,,2/22/20 6:19,1.04007,,2/22/20 6:10,3.132405519
2/22/20 6:29,0.0063172,,2/22/20 6:29,0.9906492,,2/22/20 6:29,0.044726,,2/22/20 6:29,0.0215853,,2/22/20 6:29,0.0485661,,2/22/20 6:29,0.0140442,,2/22/20 6:29,0.0055885,,2/22/20 6:19,65.21001854,,2/22/20 6:29,0.0047059,,2/22/20 6:19,65.21001854,,2/22/20 6:29,0.0035026,,2/22/20 6:29,1.0452365,,2/22/20 6:19,3.132503033
