Machines > Drill Press > MIB > X-Horizontal > Peak Acceleration,,,Machines > Drill Press > MIB > X-Horizontal > Peak Velocity,,,Machines > Drill Press > MIB > Y-Radial > Band 1,,,Machines > Drill Press > MIB > Y-Radial > Damage Accumulation,,,Machines > Drill Press > MIB > Y-Radial > Peak Acceleration,,,Machines > Drill Press > MIB > Y-Radial > Peak Velocity,,,Machines > Drill Press > MIB > X-Horizontal > Band 1,,,Machines > Drill Press > MIB > X-Horizontal > Damage Accumulation,,,Machines > Drill Press > MIB > Y-Radial > RMS Velocity,,,Machines > Drill Press > MIB > Y-Radial > Temperature,,,Machines > Drill Press > MIB > X-Horizontal > RMS Velocity,,,Machines > Drill Press > MIB > X-Horizontal > Temperature,,,Machines > Drill Press > MIB > Battery Voltage,
Time (UTC), Avg(g),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(Damage),,Time (UTC), Avg(g),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(Damage),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(°F),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(°F),,Time (UTC), Avg(V)
2/15/20 5:09,0.0289761,,2/15/20 5:09,0.0172062,,2/15/20 5:09,0.0024617,,2/15/20 5:09,0.3682643,,2/15/20 5:09,0.0296664,,2/15/20 5:09,0.0127583,,2/15/20 5:09,0.0028611,,2/15/20 5:09,0.3753436,,2/15/20 5:09,0.0043411,,2/15/20 5:09,65.62163849,,2/15/20 5:09,0.0042797,,2/15/20 5:09,65.62163849,,2/15/20 5:09,3.245714426
2/15/20 5:18,0.0344743,,2/15/20 5:18,0.015452,,2/15/20 5:18,0.0020057,,2/15/20 5:18,0.3641104,,2/15/20 5:18,0.0302537,,2/15/20 5:18,0.011738,,2/15/20 5:18,0.0058991,,2/15/20 5:18,0.3645496,,2/15/20 5:18,0.0036731,,2/15/20 5:19,65.62163849,,2/15/20 5:18,0.0055444,,2/15/20 5:19,65.62163849,,2/15/20 5:19,3.245714426
2/15/20 5:28,0.0377887,,2/15/20 5:28,0.0142716,,2/15/20 5:28,0.0040133,,2/15/20 5:28,0.3613421,,2/15/20 5:28,0.0288175,,2/15/20 5:28,0.0115973,,2/15/20 5:28,0.0044538,,2/15/20 5:28,0.3574632,,2/15/20 5:28,0.0042443,,2/15/20 5:29,65.85980835,,2/15/20 5:28,0.0045348,,2/15/20 5:29,65.85980835,,2/15/20 5:29,3.245909691
2/15/20 5:38,0.034299,,2/15/20 5:38,0.0176556,,2/15/20 5:38,0.0037381,,2/15/20 5:38,0.3710146,,2/15/20 5:38,0.0356939,,2/15/20 5:38,0.0164879,,2/15/20 5:38,0.0021139,,2/15/20 5:38,0.3770766,,2/15/20 5:38,0.0051853,,2/15/20 5:39,65.58762894,,2/15/20 5:38,0.0051255,,2/15/20 5:39,65.58762894,,2/15/20 5:39,3.245518923
2/15/20 5:49,0.0332215,,2/15/20 5:49,0.0140633,,2/15/20 5:49,0.0036123,,2/15/20 5:49,0.362878,,2/15/20 5:49,0.0368338,,2/15/20 5:49,0.015616,,2/15/20 5:49,0.0038106,,2/15/20 5:49,0.3464225,,2/15/20 5:49,0.0050881,,2/15/20 5:49,65.51960297,,2/15/20 5:49,0.0047836,,2/15/20 5:49,65.51960297,,2/15/20 5:49,3.245518923
2/15/20 5:59,0.0379664,,2/15/20 5:59,0.0179874,,2/15/20 5:59,0.0063433,,2/15/20 5:59,0.3745373,,2/15/20 5:59,0.0311459,,2/15/20 5:59,0.0146116,,2/15/20 5:59,0.0047511,,2/15/20 5:59,0.3738274,,2/15/20 5:59,0.0055928,,2/15/20 5:59,65.79174461,,2/15/20 5:59,0.0051769,,2/15/20 5:59,65.79174461,,2/15/20 5:59,3.24493289
2/15/20 6:09,0.0337828,,2/15/20 6:09,0.0120218,,2/15/20 6:09,0.0052448,,2/15/20 6:09,0.3643899,,2/15/20 6:09,0.0328598,,2/15/20 6:09,0.0160995,,2/15/20 6:09,0.0043186,,2/15/20 6:09,0.365347,,2/15/20 6:09,0.0054554,,2/15/20 6:09,65.79174461,,2/15/20 6:09,0.0041663,,2/15/20 6:09,65.79174461,,2/15/20 6:09,3.244835138
2/15/20 6:19,0.031623,,2/15/20 6:19,0.0147782,,2/15/20 6:19,0.003577,,2/15/20 6:19,0.3733019,,2/15/20 6:19,0.0309742,,2/15/20 6:19,0.0101016,,2/15/20 6:19,0.0035152,,2/15/20 6:19,0.3669337,,2/15/20 6:19,0.0037633,,2/15/20 6:19,65.65565491,,2/15/20 6:19,0.0049461,,2/15/20 6:19,65.65565491,,2/15/20 6:19,3.244737625
2/15/20 6:28,0.038074,,2/15/20 6:28,0.0123299,,2/15/20 6:29,0.0019298,,2/15/20 6:29,0.3522978,,2/15/20 6:29,0.0275113,,2/15/20 6:29,0.0133732,,2/15/20 6:28,0.0029007,,2/15/20 6:28,0.3548597,,2/15/20 6:29,0.0045402,,2/15/20 6:29,65.92783432,,2/15/20 6:28,0.0044482,,2/15/20 6:29,65.92783432,,2/15/20 6:29,3.245518923
2/15/20 6:38,0.0386619,,2/15/20 6:38,0.0206193,,2/15/20 6:38,0.0026659,,2/15/20 6:38,0.3577953,,2/15/20 6:38,0.0354881,,2/15/20 6:38,0.0111286,,2/15/20 6:38,0.0028963,,2/15/20 6:38,0.3723387,,2/15/20 6:38,0.0041092,,2/15/20 6:38,65.79174461,,2/15/20 6:38,0.0056438,,2/15/20 6:38,65.79174461,,2/15/20 6:38,3.244151354
2/15/20 6:48,0.0338479,,2/15/20 6:48,0.0151983,,2/15/20 6:48,0.0039783,,2/15/20 6:48,0.3686821,,2/15/20 6:48,0.0291304,,2/15/20 6:48,0.0145046,,2/15/20 6:48,0.0036926,,2/15/20 6:48,0.3696673,,2/15/20 6:48,0.0040136,,2/15/20 6:48,65.51960297,,2/15/20 6:48,0.0047395,,2/15/20 6:48,65.51960297,,2/15/20 6:48,3.244151354
2/15/20 6:59,0.033087,,2/15/20 6:59,0.0141451,,2/15/20 6:59,0.0034439,,2/15/20 6:59,0.3694365,,2/15/20 6:59,0.0288319,,2/15/20 6:59,0.0126856,,2/15/20 6:59,0.0039719,,2/15/20 6:59,0.3702205,,2/15/20 6:59,0.004542,,2/15/20 6:59,65.85980835,,2/15/20 6:59,0.0046891,,2/15/20 6:59,65.85980835,,2/15/20 6:59,3.244249105
2/15/20 7:09,0.0357028,,2/15/20 7:09,0.013701,,2/15/20 7:09,0.0053474,,2/15/20 7:09,0.3704104,,2/15/20 7:09,0.029168,,2/15/20 7:09,0.0154866,,2/15/20 7:09,0.0031977,,2/15/20 7:09,0.3666977,,2/15/20 7:09,0.0047122,,2/15/20 7:09,65.55361595,,2/15/20 7:09,0.0045855,,2/15/20 7:09,65.55361595,,2/15/20 7:09,3.244542122
2/15/20 7:19,0.039193,,2/15/20 7:19,0.0128717,,2/15/20 7:19,0.0025417,,2/15/20 7:19,0.35188,,2/15/20 7:19,0.0298866,,2/15/20 7:19,0.0120622,,2/15/20 7:19,0.0037182,,2/15/20 7:19,0.3784461,,2/15/20 7:19,0.0035139,,2/15/20 7:20,65.55361595,,2/15/20 7:19,0.0043039,,2/15/20 7:20,65.55361595,,2/15/20 7:20,3.244346619
2/15/20 7:29,0.0342153,,2/15/20 7:29,0.0168344,,2/15/20 7:29,0.0027582,,2/15/20 7:29,0.3599835,,2/15/20 7:29,0.0358015,,2/15/20 7:29,0.013144,,2/15/20 7:29,0.0041623,,2/15/20 7:29,0.3566143,,2/15/20 7:29,0.003586,,2/15/20 7:30,65.8257576,,2/15/20 7:29,0.0048927,,2/15/20 7:30,65.8257576,,2/15/20 7:30,3.243369818
2/15/20 7:39,0.0318562,,2/15/20 7:39,0.0168536,,2/15/20 7:39,0.0039127,,2/15/20 7:39,0.3677443,,2/15/20 7:39,0.031708,,2/15/20 7:39,0.0137277,,2/15/20 7:39,0.003394,,2/15/20 7:39,0.3671071,,2/15/20 7:39,0.0047643,,2/15/20 7:39,65.72372208,,2/15/20 7:39,0.0049555,,2/15/20 7:39,65.72372208,,2/15/20 7:39,3.243369818
2/15/20 7:48,0.0368044,,2/15/20 7:48,0.0138409,,2/15/20 7:48,0.0024521,,2/15/20 7:48,0.3490185,,2/15/20 7:48,0.0334335,,2/15/20 7:48,0.0132132,,2/15/20 7:48,0.0030337,,2/15/20 7:48,0.3521341,,2/15/20 7:48,0.0044425,,2/15/20 7:49,65.55361595,,2/15/20 7:48,0.0045247,,2/15/20 7:49,65.55361595,,2/15/20 7:49,3.243467569
2/15/20 7:58,0.0409042,,2/15/20 7:58,0.0147703,,2/15/20 7:58,0.0028615,,2/15/20 7:58,0.3679968,,2/15/20 7:58,0.0297839,,2/15/20 7:58,0.013101,,2/15/20 7:58,0.0033958,,2/15/20 7:58,0.3596545,,2/15/20 7:58,0.0040647,,2/15/20 7:59,65.68970566,,2/15/20 7:58,0.0044862,,2/15/20 7:59,65.68970566,,2/15/20 7:59,3.24307704
2/15/20 8:09,0.0292971,,2/15/20 8:09,0.0160878,,2/15/20 8:09,0.0036283,,2/15/20 8:09,0.3557784,,2/15/20 8:09,0.0311833,,2/15/20 8:09,0.0152929,,2/15/20 8:09,0.0030197,,2/15/20 8:09,0.3627272,,2/15/20 8:09,0.0048473,,2/15/20 8:10,65.51960297,,2/15/20 8:09,0.0051194,,2/15/20 8:10,65.51960297,,2/15/20 8:10,3.243369818
