Machines > Drill Press > MIB > X-Horizontal > Peak Acceleration,,,Machines > Drill Press > MIB > X-Horizontal > Peak Velocity,,,Machines > Drill Press > MIB > X-Horizontal > Band 1,,,Machines > Drill Press > MIB > X-Horizontal > Damage Accumulation,,,Machines > Drill Press > MIB > Y-Radial > RMS Velocity,,,Machines > Drill Press > MIB > Y-Radial > Temperature,,,Machines > Drill Press > MIB > Y-Radial > Peak Acceleration,,,Machines > Drill Press > MIB > Y-Radial > Peak Velocity,,,Machines > Drill Press > MIB > X-Horizontal > RMS Velocity,,,Machines > Drill Press > MIB > X-Horizontal > Temperature,,,Machines > Drill Press > MIB > Y-Radial > Band 1,,,Machines > Drill Press > MIB > Y-Radial > Damage Accumulation,,,Machines > Drill Press > MIB > Battery Voltage,
Time (UTC), Avg(g),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(Damage),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(°F),,Time (UTC), Avg(g),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(°F),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(Damage),,Time (UTC), Avg(V)
2/22/20 5:09,0.0324445,,2/22/20 5:09,0.0130475,,2/22/20 5:09,0.0029607,,2/22/20 5:09,0.3690001,,2/22/20 5:09,0.0045092,,2/22/20 5:00,65.99586029,,2/22/20 5:09,0.028544,,2/22/20 5:09,0.0142242,,2/22/20 5:09,0.0042286,,2/22/20 5:00,65.99586029,,2/22/20 5:09,0.0038967,,2/22/20 5:09,0.3475908,,2/22/20 5:00,3.157411337
2/22/20 5:19,0.0354347,,2/22/20 5:19,0.0120921,,2/22/20 5:19,0.0025534,,2/22/20 5:19,0.3737297,,2/22/20 5:19,0.0054083,,2/22/20 5:10,65.92783432,,2/22/20 5:19,0.0332482,,2/22/20 5:19,0.0156111,,2/22/20 5:19,0.0045337,,2/22/20 5:10,65.92783432,,2/22/20 5:19,0.0027235,,2/22/20 5:19,0.3656463,,2/22/20 5:10,3.157704353
2/22/20 5:29,0.0317737,,2/22/20 5:29,0.0129062,,2/22/20 5:29,0.003474,,2/22/20 5:29,0.3618323,,2/22/20 5:29,0.0049521,,2/22/20 5:20,65.96184731,,2/22/20 5:29,0.0313592,,2/22/20 5:29,0.0159897,,2/22/20 5:29,0.0046751,,2/22/20 5:20,65.96184731,,2/22/20 5:29,0.0050796,,2/22/20 5:29,0.3594094,,2/22/20 5:20,3.157216072
2/22/20 5:39,0.0370846,,2/22/20 5:39,0.0174835,,2/22/20 5:39,0.0043361,,2/22/20 5:39,0.3654555,,2/22/20 5:39,0.0043082,,2/22/20 5:30,65.79174461,,2/22/20 5:39,0.0351341,,2/22/20 5:39,0.0164607,,2/22/20 5:39,0.0044996,,2/22/20 5:30,65.79174461,,2/22/20 5:39,0.0026328,,2/22/20 5:39,0.3777835,,2/22/20 5:30,3.157704353
2/22/20 5:50,0.0329188,,2/22/20 5:50,0.0124895,,2/22/20 5:50,0.0036223,,2/22/20 5:50,0.3588897,,2/22/20 5:50,0.0047386,,2/22/20 5:40,66.02991104,,2/22/20 5:50,0.026849,,2/22/20 5:50,0.0142519,,2/22/20 5:50,0.0045481,,2/22/20 5:40,66.02991104,,2/22/20 5:50,0.0038963,,2/22/20 5:50,0.3723281,,2/22/20 5:40,3.157411337
2/22/20 6:00,0.0341672,,2/22/20 6:00,0.015901,,2/22/20 6:00,0.0030628,,2/22/20 6:00,0.3692387,,2/22/20 6:00,0.0038801,,2/22/20 5:50,65.89382477,,2/22/20 6:00,0.0296102,,2/22/20 6:00,0.0107728,,2/22/20 6:00,0.0049201,,2/22/20 5:50,65.89382477,,2/22/20 6:00,0.0033296,,2/22/20 6:00,0.3674407,,2/22/20 5:50,3.157216072
2/22/20 6:09,0.034867,,2/22/20 6:09,0.0134221,,2/22/20 6:09,0.0026671,,2/22/20 6:09,0.3608532,,2/22/20 6:09,0.0045825,,2/22/20 6:00,65.79174461,,2/22/20 6:09,0.027811,,2/22/20 6:09,0.0135459,,2/22/20 6:09,0.0042451,,2/22/20 6:00,65.79174461,,2/22/20 6:09,0.0036278,,2/22/20 6:09,0.3688083,,2/22/20 6:00,3.156825542
2/22/20 6:19,0.0361804,,2/22/20 6:19,0.0146263,,2/22/20 6:19,0.0058395,,2/22/20 6:19,0.3785329,,2/22/20 6:19,0.0048517,,2/22/20 6:10,65.68970566,,2/22/20 6:19,0.031167,,2/22/20 6:19,0.0132508,,2/22/20 6:19,0.005241,,2/22/20 6:10,65.68970566,,2/22/20 6:19,0.0029962,,2/22/20 6:19,0.370735,,2/22/20 6:10,3.15760684
2/22/20 6:29,0.0451927,,2/22/20 6:29,0.0154991,,2/22/20 6:29,0.0030902,,2/22/20 6:29,0.3698543,,2/22/20 6:29,0.0038597,,2/22/20 6:20,65.65565491,,2/22/20 6:29,0.0385465,,2/22/20 6:29,0.0140388,,2/22/20 6:29,0.004996,,2/22/20 6:20,65.65565491,,2/22/20 6:29,0.0031812,,2/22/20 6:29,0.3670921,,2/22/20 6:20,3.157118559
