Machines > Lathe 1 > MIB > Y-Vertical > RMS Velocity,,,Machines > Lathe 1 > MIB > Y-Vertical > Temperature,,,Machines > Lathe 1 > MIB > Y-Vertical > Band 1,,,Machines > Lathe 1 > MIB > Y-Vertical > Damage Accumulation,,,Machines > Lathe 1 > MIB > X-Axial > Peak Acceleration,,,Machines > Lathe 1 > MIB > X-Axial > Peak Velocity,,,Machines > Lathe 1 > MIB > X-Axial > Band 1,,,Machines > Lathe 1 > MIB > X-Axial > Damage Accumulation,,,Machines > Lathe 1 > MIB > X-Axial > RMS Velocity,,,Machines > Lathe 1 > MIB > X-Axial > Temperature,,,Machines > Lathe 1 > MIB > Y-Vertical > Peak Acceleration,,,Machines > Lathe 1 > MIB > Y-Vertical > Peak Velocity,,,Machines > Lathe 1 > MIB > Battery Voltage,
Time (UTC), Avg(in/sec),,Time (UTC), Avg(°F),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(Damage),,Time (UTC), Avg(g),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(Damage),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(°F),,Time (UTC), Avg(g),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(V)
2/15/20 5:08,0.0044986,,2/15/20 5:09,69.12418976,,2/15/20 5:08,0.0032806,,2/15/20 5:08,0.9889563,,2/15/20 5:08,0.0501273,,2/15/20 5:08,0.014286,,2/15/20 5:08,0.0053107,,2/15/20 5:08,0.9849459,,2/15/20 5:08,0.0048929,,2/15/20 5:09,69.12418976,,2/15/20 5:08,0.048234,,2/15/20 5:08,0.0164179,,2/15/20 5:09,3.227252722
2/15/20 5:18,0.0047664,,2/15/20 5:19,68.77187881,,2/15/20 5:18,0.0031057,,2/15/20 5:18,1.0187886,,2/15/20 5:18,0.0525156,,2/15/20 5:18,0.0158189,,2/15/20 5:18,0.0058656,,2/15/20 5:18,1.0072722,,2/15/20 5:18,0.0057292,,2/15/20 5:19,68.77187881,,2/15/20 5:18,0.0468124,,2/15/20 5:18,0.0174317,,2/15/20 5:19,3.227545738
2/15/20 5:28,0.0045822,,2/15/20 5:29,69.51172562,,2/15/20 5:28,0.0035309,,2/15/20 5:28,1.012189,,2/15/20 5:28,0.0493845,,2/15/20 5:28,0.0149249,,2/15/20 5:28,0.0029946,,2/15/20 5:28,1.0246913,,2/15/20 5:28,0.0046638,,2/15/20 5:29,69.51172562,,2/15/20 5:28,0.0485662,,2/15/20 5:28,0.0131528,,2/15/20 5:29,3.226764202
2/15/20 5:38,0.0038504,,2/15/20 5:38,68.52527695,,2/15/20 5:38,0.0023349,,2/15/20 5:38,1.0183065,,2/15/20 5:38,0.0555978,,2/15/20 5:38,0.0127264,,2/15/20 5:38,0.0032719,,2/15/20 5:38,0.9939866,,2/15/20 5:38,0.0041321,,2/15/20 5:38,68.52527695,,2/15/20 5:38,0.0457376,,2/15/20 5:38,0.0148627,,2/15/20 5:38,3.226568937
2/15/20 5:49,0.005412,,2/15/20 5:49,68.31389656,,2/15/20 5:49,0.0040037,,2/15/20 5:49,0.9838173,,2/15/20 5:49,0.0488145,,2/15/20 5:49,0.0150649,,2/15/20 5:49,0.0032041,,2/15/20 5:49,1.0084854,,2/15/20 5:49,0.0042886,,2/15/20 5:49,68.31389656,,2/15/20 5:49,0.0421953,,2/15/20 5:49,0.0154672,,2/15/20 5:49,3.226666689
2/15/20 5:59,0.0038562,,2/15/20 5:59,68.45478592,,2/15/20 5:59,0.0019277,,2/15/20 5:59,0.9948952,,2/15/20 5:59,0.0463877,,2/15/20 5:59,0.0148007,,2/15/20 5:59,0.0033218,,2/15/20 5:59,0.9805894,,2/15/20 5:59,0.004846,,2/15/20 5:59,68.45478592,,2/15/20 5:59,0.0449643,,2/15/20 5:59,0.0128581,,2/15/20 5:59,3.226275921
2/15/20 6:09,0.0045468,,2/15/20 6:09,68.03202858,,2/15/20 6:09,0.0037558,,2/15/20 6:09,0.9767354,,2/15/20 6:09,0.0476119,,2/15/20 6:09,0.023752,,2/15/20 6:09,0.0065625,,2/15/20 6:09,0.9991033,,2/15/20 6:09,0.0054737,,2/15/20 6:09,68.03202858,,2/15/20 6:09,0.0406661,,2/15/20 6:09,0.0126042,,2/15/20 6:09,3.226178408
2/15/20 6:18,0.0053043,,2/15/20 6:19,67.92631607,,2/15/20 6:18,0.0027029,,2/15/20 6:18,1.0100354,,2/15/20 6:18,0.0480439,,2/15/20 6:18,0.0143384,,2/15/20 6:18,0.0039157,,2/15/20 6:18,1.019438,,2/15/20 6:18,0.0048452,,2/15/20 6:19,67.92631607,,2/15/20 6:18,0.0484174,,2/15/20 6:18,0.0153958,,2/15/20 6:19,3.225885153
2/15/20 6:28,0.004679,,2/15/20 6:29,67.53878021,,2/15/20 6:28,0.0030105,,2/15/20 6:28,1.014548,,2/15/20 6:28,0.0470201,,2/15/20 6:28,0.0155559,,2/15/20 6:28,0.0036649,,2/15/20 6:28,0.9900489,,2/15/20 6:28,0.0050879,,2/15/20 6:29,67.53878021,,2/15/20 6:28,0.0517215,,2/15/20 6:28,0.0182781,,2/15/20 6:29,3.225689888
2/15/20 6:38,0.004382,,2/15/20 6:38,67.82064819,,2/15/20 6:38,0.0021114,,2/15/20 6:38,0.9864308,,2/15/20 6:38,0.0459638,,2/15/20 6:38,0.0163568,,2/15/20 6:38,0.0044617,,2/15/20 6:38,0.9902742,,2/15/20 6:38,0.0054268,,2/15/20 6:38,67.82064819,,2/15/20 6:38,0.0432445,,2/15/20 6:38,0.0136394,,2/15/20 6:38,3.22529912
2/15/20 6:48,0.0037508,,2/15/20 6:48,67.50355873,,2/15/20 6:48,0.0027164,,2/15/20 6:48,1.0216812,,2/15/20 6:48,0.0481716,,2/15/20 6:48,0.0144662,,2/15/20 6:48,0.0036842,,2/15/20 6:48,0.9852622,,2/15/20 6:48,0.0051014,,2/15/20 6:48,67.50355873,,2/15/20 6:48,0.0444304,,2/15/20 6:48,0.0130345,,2/15/20 6:48,3.225006104
2/15/20 6:59,0.0051729,,2/15/20 6:59,67.6797142,,2/15/20 6:59,0.0054841,,2/15/20 6:59,1.000061,,2/15/20 6:59,0.0469944,,2/15/20 6:59,0.0201418,,2/15/20 6:59,0.0038899,,2/15/20 6:59,1.0005736,,2/15/20 6:59,0.0054149,,2/15/20 6:59,67.6797142,,2/15/20 6:59,0.0479822,,2/15/20 6:59,0.0185341,,2/15/20 6:59,3.225201607
2/15/20 7:09,0.0043609,,2/15/20 7:09,67.53878021,,2/15/20 7:09,0.0023684,,2/15/20 7:09,0.9909506,,2/15/20 7:09,0.047593,,2/15/20 7:09,0.0155413,,2/15/20 7:09,0.0064585,,2/15/20 7:09,0.9797609,,2/15/20 7:09,0.005144,,2/15/20 7:09,67.53878021,,2/15/20 7:09,0.0465531,,2/15/20 7:09,0.0154279,,2/15/20 7:09,3.224322319
2/15/20 7:19,0.0054133,,2/15/20 7:20,67.43311234,,2/15/20 7:19,0.0030599,,2/15/20 7:19,1.0109042,,2/15/20 7:19,0.0536903,,2/15/20 7:19,0.0150528,,2/15/20 7:19,0.0038101,,2/15/20 7:19,1.0220123,,2/15/20 7:19,0.0046389,,2/15/20 7:20,67.43311234,,2/15/20 7:19,0.0508589,,2/15/20 7:19,0.0203776,,2/15/20 7:20,3.224420071
2/15/20 7:29,0.0043712,,2/15/20 7:29,67.36262474,,2/15/20 7:29,0.002272,,2/15/20 7:29,1.0024179,,2/15/20 7:29,0.0443853,,2/15/20 7:29,0.0127558,,2/15/20 7:29,0.0031547,,2/15/20 7:29,0.9896506,,2/15/20 7:29,0.0042826,,2/15/20 7:29,67.36262474,,2/15/20 7:29,0.0429821,,2/15/20 7:29,0.0138258,,2/15/20 7:29,3.224322319
2/15/20 7:38,0.005124,,2/15/20 7:39,67.36262474,,2/15/20 7:38,0.0042873,,2/15/20 7:38,1.002442,,2/15/20 7:38,0.0520233,,2/15/20 7:38,0.0179869,,2/15/20 7:38,0.0074917,,2/15/20 7:38,1.0124595,,2/15/20 7:38,0.0062716,,2/15/20 7:39,67.36262474,,2/15/20 7:38,0.042603,,2/15/20 7:38,0.0158007,,2/15/20 7:39,3.224420071
2/15/20 7:48,0.0048007,,2/15/20 7:49,67.11602287,,2/15/20 7:48,0.0040103,,2/15/20 7:48,1.030689,,2/15/20 7:48,0.0470762,,2/15/20 7:48,0.0202666,,2/15/20 7:48,0.0050157,,2/15/20 7:48,0.9840809,,2/15/20 7:48,0.005874,,2/15/20 7:49,67.11602287,,2/15/20 7:48,0.047387,,2/15/20 7:48,0.015957,,2/15/20 7:49,3.224127054
