Machines > Lathe 1 > MIB > X-Axial > Peak Acceleration,,,Machines > Lathe 1 > MIB > X-Axial > Peak Velocity,,,Machines > Lathe 1 > MIB > X-Axial > Band 1,,,Machines > Lathe 1 > MIB > X-Axial > Damage Accumulation,,,Machines > Lathe 1 > MIB > Y-Vertical > RMS Velocity,,,Machines > Lathe 1 > MIB > Y-Vertical > Temperature,,,Machines > Lathe 1 > MIB > X-Axial > RMS Velocity,,,Machines > Lathe 1 > MIB > X-Axial > Temperature,,,Machines > Lathe 1 > MIB > Y-Vertical > Band 1,,,Machines > Lathe 1 > MIB > Y-Vertical > Damage Accumulation,,,Machines > Lathe 1 > MIB > Y-Vertical > Peak Acceleration,,,Machines > Lathe 1 > MIB > Y-Vertical > Peak Velocity,,,Machines > Lathe 1 > MIB > Battery Voltage,
Time (UTC), Avg(g),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(Damage),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(°F),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(°F),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(Damage),,Time (UTC), Avg(g),,Time (UTC), Avg(in/sec),,Time (UTC), Avg(V)
2/22/20 5:00,0.0504147,,2/22/20 5:00,0.0161297,,2/22/20 5:00,0.004321,,2/22/20 5:00,1.0089566,,2/22/20 5:00,0.0048718,,2/22/20 5:01,74.69075623,,2/22/20 5:00,0.0059923,,2/22/20 5:01,74.69075623,,2/22/20 5:00,0.0032981,,2/22/20 5:00,1.0259442,,2/22/20 5:00,0.0512273,,2/22/20 5:00,0.0181746,,2/22/20 5:01,3.128205061
2/22/20 5:10,0.0440885,,2/22/20 5:10,0.0135372,,2/22/20 5:10,0.0029358,,2/22/20 5:10,1.0098966,,2/22/20 5:10,0.0040749,,2/22/20 5:11,73.809972,,2/22/20 5:10,0.0048144,,2/22/20 5:11,73.809972,,2/22/20 5:10,0.0019854,,2/22/20 5:10,1.0009324,,2/22/20 5:10,0.0490014,,2/22/20 5:10,0.0128508,,2/22/20 5:11,3.129181862
2/22/20 5:20,0.0432849,,2/22/20 5:20,0.0184688,,2/22/20 5:20,0.0057826,,2/22/20 5:20,0.9747352,,2/22/20 5:20,0.0044677,,2/22/20 5:21,73.10534668,,2/22/20 5:20,0.0055186,,2/22/20 5:21,73.10534668,,2/22/20 5:20,0.0029438,,2/22/20 5:20,1.017734,,2/22/20 5:20,0.0479268,,2/22/20 5:20,0.0128916,,2/22/20 5:21,3.128693581
2/22/20 5:30,0.0486858,,2/22/20 5:30,0.0139042,,2/22/20 5:30,0.0034551,,2/22/20 5:30,0.9770774,,2/22/20 5:30,0.0039042,,2/22/20 5:30,72.7530323,,2/22/20 5:30,0.004761,,2/22/20 5:30,72.7530323,,2/22/20 5:30,0.0039397,,2/22/20 5:30,1.0083666,,2/22/20 5:30,0.046532,,2/22/20 5:30,0.0124308,,2/22/20 5:30,3.128302813
2/22/20 5:40,0.0479814,,2/22/20 5:40,0.0198071,,2/22/20 5:40,0.0042622,,2/22/20 5:40,1.0280736,,2/22/20 5:40,0.0052373,,2/22/20 5:40,72.47116776,,2/22/20 5:40,0.0048702,,2/22/20 5:40,72.47116776,,2/22/20 5:40,0.0054174,,2/22/20 5:40,0.985227,,2/22/20 5:40,0.0440966,,2/22/20 5:40,0.0166559,,2/22/20 5:40,3.128009796
2/22/20 5:50,0.0458196,,2/22/20 5:50,0.0141882,,2/22/20 5:50,0.0026753,,2/22/20 5:50,0.9813678,,2/22/20 5:50,0.005121,,2/22/20 5:51,71.90747299,,2/22/20 5:50,0.0051624,,2/22/20 5:51,71.90747299,,2/22/20 5:50,0.0051383,,2/22/20 5:50,1.0062377,,2/22/20 5:50,0.0485686,,2/22/20 5:50,0.015797,,2/22/20 5:51,3.128693581
2/22/20 6:00,0.0440423,,2/22/20 6:00,0.0130488,,2/22/20 6:00,0.0057779,,2/22/20 6:00,1.0120225,,2/22/20 6:00,0.004159,,2/22/20 6:01,71.06191368,,2/22/20 6:00,0.0054006,,2/22/20 6:01,71.06191368,,2/22/20 6:00,0.0036383,,2/22/20 6:00,0.9729133,,2/22/20 6:00,0.051949,,2/22/20 6:00,0.0136938,,2/22/20 6:01,3.128693581
2/22/20 6:10,0.0441601,,2/22/20 6:10,0.0178,,2/22/20 6:10,0.0048944,,2/22/20 6:10,0.9917833,,2/22/20 6:10,0.0039186,,2/22/20 6:11,70.99146729,,2/22/20 6:10,0.0055361,,2/22/20 6:11,70.99146729,,2/22/20 6:10,0.0027649,,2/22/20 6:10,1.0223566,,2/22/20 6:10,0.0513452,,2/22/20 6:10,0.015361,,2/22/20 6:11,3.128595829
2/22/20 6:20,0.0468165,,2/22/20 6:20,0.0192149,,2/22/20 6:20,0.002519,,2/22/20 6:20,1.0272884,,2/22/20 6:20,0.0046962,,2/22/20 6:20,70.63915634,,2/22/20 6:20,0.0050314,,2/22/20 6:20,70.63915634,,2/22/20 6:20,0.0035352,,2/22/20 6:20,1.0084425,,2/22/20 6:20,0.0447978,,2/22/20 6:20,0.0146453,,2/22/20 6:20,3.128498316
2/22/20 6:30,0.0507388,,2/22/20 6:30,0.0131389,,2/22/20 6:30,0.0037912,,2/22/20 6:30,1.0020326,,2/22/20 6:30,0.0046606,,2/22/20 6:30,70.67437782,,2/22/20 6:30,0.0041584,,2/22/20 6:30,70.67437782,,2/22/20 6:30,0.0041551,,2/22/20 6:30,1.01746,,2/22/20 6:30,0.045785,,2/22/20 6:30,0.014444,,2/22/20 6:30,3.128009796
2/22/20 6:40,0.0483585,,2/22/20 6:40,0.015517,,2/22/20 6:40,0.0036447,,2/22/20 6:40,0.9934858,,2/22/20 6:40,0.0042401,,2/22/20 6:40,70.25162048,,2/22/20 6:40,0.0049876,,2/22/20 6:40,70.25162048,,2/22/20 6:40,0.0038978,,2/22/20 6:40,1.0312566,,2/22/20 6:40,0.0449634,,2/22/20 6:40,0.0140868,,2/22/20 6:40,3.128498316
2/22/20 6:49,0.0527267,,2/22/20 6:49,0.0186328,,2/22/20 6:49,0.0029027,,2/22/20 6:49,1.0026722,,2/22/20 6:50,0.0051421,,2/22/20 6:50,69.93452759,,2/22/20 6:49,0.005294,,2/22/20 6:50,69.93452759,,2/22/20 6:50,0.0026535,,2/22/20 6:50,1.0060273,,2/22/20 6:50,0.0560758,,2/22/20 6:50,0.0170073,,2/22/20 6:50,3.128205061
2/22/20 7:00,0.0465684,,2/22/20 7:00,0.015527,,2/22/20 7:00,0.0031785,,2/22/20 7:00,1.0030819,,2/22/20 7:00,0.0043703,,2/22/20 7:01,69.68788452,,2/22/20 7:00,0.0045879,,2/22/20 7:01,69.68788452,,2/22/20 7:00,0.0051589,,2/22/20 7:00,0.9838885,,2/22/20 7:00,0.0412508,,2/22/20 7:00,0.0139073,,2/22/20 7:01,3.128302813
2/22/20 7:10,0.0460514,,2/22/20 7:10,0.0177219,,2/22/20 7:10,0.0034801,,2/22/20 7:10,1.0091068,,2/22/20 7:10,0.0049541,,2/22/20 7:11,69.51172562,,2/22/20 7:10,0.0051295,,2/22/20 7:11,69.51172562,,2/22/20 7:10,0.0043103,,2/22/20 7:10,1.0194398,,2/22/20 7:10,0.0448895,,2/22/20 7:10,0.0166724,,2/22/20 7:11,3.128107309
2/22/20 7:20,0.0517393,,2/22/20 7:20,0.0150123,,2/22/20 7:20,0.003917,,2/22/20 7:20,1.0135884,,2/22/20 7:20,0.0043845,,2/22/20 7:20,69.51172562,,2/22/20 7:20,0.0047924,,2/22/20 7:20,69.51172562,,2/22/20 7:20,0.0025872,,2/22/20 7:20,1.0081049,,2/22/20 7:20,0.0507875,,2/22/20 7:20,0.0125704,,2/22/20 7:20,3.127814531
2/22/20 7:30,0.0495097,,2/22/20 7:30,0.012418,,2/22/20 7:30,0.0043043,,2/22/20 7:30,1.0015774,,2/22/20 7:30,0.0045507,,2/22/20 7:30,69.15941467,,2/22/20 7:30,0.0052789,,2/22/20 7:30,69.15941467,,2/22/20 7:30,0.0033922,,2/22/20 7:30,1.0268006,,2/22/20 7:30,0.0408838,,2/22/20 7:30,0.0122532,,2/22/20 7:30,3.127912045
2/22/20 7:40,0.0529601,,2/22/20 7:40,0.0152391,,2/22/20 7:40,0.0057532,,2/22/20 7:40,0.9949585,,2/22/20 7:40,0.0046589,,2/22/20 7:40,69.01852188,,2/22/20 7:40,0.0054789,,2/22/20 7:40,69.01852188,,2/22/20 7:40,0.0026831,,2/22/20 7:40,1.0179005,,2/22/20 7:40,0.0447311,,2/22/20 7:40,0.0153018,,2/22/20 7:40,3.127521515
2/22/20 7:50,0.0519634,,2/22/20 7:50,0.0163352,,2/22/20 7:50,0.0041378,,2/22/20 7:50,1.0291844,,2/22/20 7:50,0.0052387,,2/22/20 7:50,68.59571991,,2/22/20 7:50,0.0054128,,2/22/20 7:50,68.59571991,,2/22/20 7:50,0.0032842,,2/22/20 7:50,0.9739655,,2/22/20 7:50,0.0465815,,2/22/20 7:50,0.0192731,,2/22/20 7:50,3.127619028
2/22/20 8:00,0.0468519,,2/22/20 8:00,0.0175516,,2/22/20 8:00,0.0032559,,2/22/20 8:00,0.9997406,,2/22/20 8:00,0.0022515,,2/22/20 8:00,68.38434296,,2/22/20 8:00,0.0044138,,2/22/20 8:00,68.38434296,,2/22/20 8:00,0.0025423,,2/22/20 8:00,0.449268,,2/22/20 8:00,0.0204586,,2/22/20 8:00,0.0065409,,2/22/20 8:00,3.127423525
2/22/20 8:10,0.0492553,,2/22/20 8:10,0.0160948,,2/22/20 8:10,0.0023612,,2/22/20 8:10,0.9986822,,2/22/20 8:10,0.0058712,,2/22/20 8:11,68.52527695,,2/22/20 8:10,0.0053614,,2/22/20 8:11,68.52527695,,2/22/20 8:10,0.0039376,,2/22/20 8:10,1.0015736,,2/22/20 8:10,0.0480982,,2/22/20 8:10,0.0148631,,2/22/20 8:11,3.127814531
2/22/20 8:20,0.0507624,,2/22/20 8:20,0.0180689,,2/22/20 8:20,0.0035404,,2/22/20 8:20,1.0017208,,2/22/20 8:20,0.0049209,,2/22/20 8:20,68.41956444,,2/22/20 8:20,0.0051161,,2/22/20 8:20,68.41956444,,2/22/20 8:20,0.0041169,,2/22/20 8:20,1.0321474,,2/22/20 8:20,0.0544665,,2/22/20 8:20,0.0153599,,2/22/20 8:20,3.127326012
2/22/20 8:30,0.0494939,,2/22/20 8:30,0.0180934,,2/22/20 8:30,0.005162,,2/22/20 8:30,0.9697847,,2/22/20 8:30,0.0045938,,2/22/20 8:30,68.06725006,,2/22/20 8:30,0.0061062,,2/22/20 8:30,68.06725006,,2/22/20 8:30,0.0036537,,2/22/20 8:30,1.0127005,,2/22/20 8:30,0.0419982,,2/22/20 8:30,0.0180141,,2/22/20 8:30,3.12722826
2/22/20 8:40,0.0454245,,2/22/20 8:40,0.0133549,,2/22/20 8:40,0.0022478,,2/22/20 8:40,0.9727459,,2/22/20 8:40,0.0044499,,2/22/20 8:40,68.03202858,,2/22/20 8:40,0.0043148,,2/22/20 8:40,68.03202858,,2/22/20 8:40,0.0032843,,2/22/20 8:40,0.9994569,,2/22/20 8:40,0.0453057,,2/22/20 8:40,0.0134089,,2/22/20 8:40,3.127326012
2/22/20 8:50,0.0507952,,2/22/20 8:50,0.0165606,,2/22/20 8:50,0.0044723,,2/22/20 8:50,0.9965426,,2/22/20 8:50,0.0046555,,2/22/20 8:50,67.89109459,,2/22/20 8:50,0.0052876,,2/22/20 8:50,67.89109459,,2/22/20 8:50,0.0037863,,2/22/20 8:50,0.9948245,,2/22/20 8:50,0.0456833,,2/22/20 8:50,0.0148006,,2/22/20 8:50,3.127032995
2/22/20 9:00,0.0510983,,2/22/20 9:00,0.0189102,,2/22/20 9:00,0.0051101,,2/22/20 9:00,1.0155527,,2/22/20 9:00,0.0051043,,2/22/20 9:00,67.39784622,,2/22/20 9:00,0.0051052,,2/22/20 9:00,67.39784622,,2/22/20 9:00,0.0044628,,2/22/20 9:00,1.0277305,,2/22/20 9:00,0.0457785,,2/22/20 9:00,0.0149569,,2/22/20 9:00,3.127130508
2/22/20 9:10,0.0547613,,2/22/20 9:10,0.0188402,,2/22/20 9:10,0.0055802,,2/22/20 9:10,1.0085855,,2/22/20 9:10,0.0047625,,2/22/20 9:11,67.43311234,,2/22/20 9:10,0.0057195,,2/22/20 9:11,67.43311234,,2/22/20 9:10,0.0023684,,2/22/20 9:10,1.0540685,,2/22/20 9:10,0.0491674,,2/22/20 9:10,0.0182396,,2/22/20 9:11,3.127521515
2/22/20 9:20,0.0483916,,2/22/20 9:20,0.0187142,,2/22/20 9:20,0.0028928,,2/22/20 9:20,0.9934699,,2/22/20 9:20,0.0056045,,2/22/20 9:21,67.53878021,,2/22/20 9:20,0.0056611,,2/22/20 9:21,67.53878021,,2/22/20 9:20,0.0054528,,2/22/20 9:20,0.9959331,,2/22/20 9:20,0.052101,,2/22/20 9:20,0.0172361,,2/22/20 9:21,3.126739979
2/22/20 9:30,0.0476616,,2/22/20 9:30,0.0166215,,2/22/20 9:30,0.0029256,,2/22/20 9:30,0.9952157,,2/22/20 9:30,0.0050932,,2/22/20 9:31,67.60927124,,2/22/20 9:30,0.0049864,,2/22/20 9:31,67.60927124,,2/22/20 9:30,0.0044704,,2/22/20 9:30,1.0296515,,2/22/20 9:30,0.0448284,,2/22/20 9:30,0.0164126,,2/22/20 9:31,3.126935244
2/22/20 9:40,0.0461361,,2/22/20 9:40,0.0139793,,2/22/20 9:40,0.0040055,,2/22/20 9:40,1.0107388,,2/22/20 9:40,0.0047339,,2/22/20 9:41,67.22169075,,2/22/20 9:40,0.0049012,,2/22/20 9:41,67.22169075,,2/22/20 9:40,0.0033061,,2/22/20 9:40,1.0238444,,2/22/20 9:40,0.0428269,,2/22/20 9:40,0.0149285,,2/22/20 9:41,3.126935244
2/22/20 9:50,0.0540408,,2/22/20 9:50,0.0157977,,2/22/20 9:50,0.0046424,,2/22/20 9:50,0.9695503,,2/22/20 9:50,0.0047165,,2/22/20 9:51,67.18646927,,2/22/20 9:50,0.0058816,,2/22/20 9:51,67.18646927,,2/22/20 9:50,0.0033242,,2/22/20 9:50,1.0351402,,2/22/20 9:50,0.0441816,,2/22/20 9:50,0.0140678,,2/22/20 9:51,3.12722826
2/22/20 10:00,0.0479832,,2/22/20 10:00,0.0187846,,2/22/20 10:00,0.0066404,,2/22/20 10:00,1.018086,,2/22/20 10:00,0.0041323,,2/22/20 10:01,67.29217834,,2/22/20 10:00,0.0058201,,2/22/20 10:01,67.29217834,,2/22/20 10:00,0.0024537,,2/22/20 10:00,1.0138261,,2/22/20 10:00,0.0429455,,2/22/20 10:00,0.0133439,,2/22/20 10:01,3.126349211
2/22/20 10:10,0.0468256,,2/22/20 10:10,0.0167624,,2/22/20 10:10,0.0022306,,2/22/20 10:10,0.976984,,2/22/20 10:10,0.0045559,,2/22/20 10:10,67.36262474,,2/22/20 10:10,0.0054064,,2/22/20 10:10,67.36262474,,2/22/20 10:10,0.0027403,,2/22/20 10:10,1.0167823,,2/22/20 10:10,0.049181,,2/22/20 10:10,0.0170825,,2/22/20 10:10,3.126251459
2/22/20 10:20,0.0441423,,2/22/20 10:20,0.0159894,,2/22/20 10:20,0.0041813,,2/22/20 10:20,1.0519477,,2/22/20 10:20,0.0057323,,2/22/20 10:20,66.90464249,,2/22/20 10:20,0.0058634,,2/22/20 10:20,66.90464249,,2/22/20 10:20,0.0058789,,2/22/20 10:20,0.9929009,,2/22/20 10:20,0.0485031,,2/22/20 10:20,0.0217739,,2/22/20 10:20,3.126153708
