Time (UTC),Machines > Drill Press > MIB > X-Horizontal > Damage Accumulation,Machines > Drill Press > MIB > Y-Radial > Damage Accumulation
2/29/2020 5:00,0.32989308,0.3412748
2/29/2020 5:10,0.3463498,0.36070502
2/29/2020 5:20,0.3398757,0.35331407
2/29/2020 5:30,0.33296865,0.34498522
2/29/2020 5:40,0.33904025,0.35228616
2/29/2020 5:49,0.35014722,0.36587277
2/29/2020 5:59,0.3428814,0.3570176
2/29/2020 6:10,0.334896,0.3473024
2/29/2020 6:20,0.32896385,0.34015632
2/29/2020 6:30,0.35064667,0.36596912
2/29/2020 6:40,0.3441256,0.358367
2/29/2020 6:50,0.34374163,0.35793793
2/29/2020 6:59,0.33019584,0.3414177
2/29/2020 7:09,0.3349897,0.3472984
2/29/2020 7:20,0.33993736,0.3533588
2/29/2020 7:30,0.33648327,0.34901258
2/29/2020 7:40,0.33235472,0.34410086
2/29/2020 7:50,0.34308466,0.3570733
2/29/2020 8:00,0.33277988,0.34462795
2/29/2020 8:09,0.34855857,0.36351258
2/29/2020 8:19,0.32941502,0.34074184
2/29/2020 8:30,0.3102686,0.31797192
2/29/2020 8:40,0.3214369,0.3311326
2/29/2020 8:50,0.3495381,0.36456177
2/29/2020 9:00,0.33296874,0.34494036
2/29/2020 9:10,0.3236957,0.3337233
2/29/2020 9:19,0.34848332,0.3638948
2/29/2020 9:29,0.347849,0.36285385
2/29/2020 9:40,0.34770527,0.36237293
2/29/2020 9:50,0.36436823,0.3827593
2/29/2020 10:00,0.343548,0.3572672
2/29/2020 10:10,0.37337095,0.39323378
2/29/2020 10:20,0.3712286,0.3906414
2/29/2020 10:29,0.35837865,0.37544855
2/29/2020 10:39,0.36138612,0.37912542
2/29/2020 10:50,0.36401206,0.3823242
2/29/2020 11:00,0.34602126,0.3604585
2/29/2020 11:10,0.35194772,0.36782277
2/29/2020 11:20,0.34991938,0.36525303
2/29/2020 11:30,0.34428662,0.3584187
2/29/2020 11:39,0.32342803,0.33353996
2/29/2020 11:49,0.34082016,0.3543479
2/29/2020 12:00,0.3601604,0.37751698
2/29/2020 12:10,0.3370505,0.34987295
2/29/2020 12:20,0.3315727,0.343394
2/29/2020 12:30,0.33434224,0.3464512
2/29/2020 12:40,0.34561533,0.36011818
2/29/2020 12:49,0.3236907,0.3338857
2/29/2020 12:59,0.33669624,0.34945726
2/29/2020 13:10,0.35197395,0.3677613
2/29/2020 13:20,0.34998232,0.3653124
2/29/2020 13:30,0.34535658,0.359691
2/29/2020 13:40,0.32350665,0.3335157
2/29/2020 13:50,0.3716069,0.39115834
2/29/2020 13:59,0.3534873,0.36952975
2/29/2020 14:09,0.34521532,0.3595768
2/29/2020 14:20,0.3368938,0.34955058
2/29/2020 14:30,0.32981867,0.3411048
2/29/2020 14:40,0.34275112,0.3567215
2/29/2020 14:50,0.33496827,0.34739918
2/29/2020 15:00,0.3419537,0.3556515
2/29/2020 15:09,0.32824245,0.33919427
2/29/2020 15:19,0.3367111,0.34926608
2/29/2020 15:30,0.34425592,0.358226
2/29/2020 15:40,0.34745377,0.36221156
2/29/2020 15:50,0.3461223,0.36071196
2/29/2020 16:00,0.32394058,0.33433452
2/29/2020 16:10,0.3402466,0.35370398
2/29/2020 16:19,0.3570484,0.37350133
2/29/2020 16:29,0.3427436,0.35659692
2/29/2020 16:40,0.32937327,0.34080783
2/29/2020 16:50,0.32337123,0.33374605
2/29/2020 17:00,0.3637436,0.38210076
2/29/2020 17:10,0.37715223,0.39773312
2/29/2020 17:20,0.3395945,0.35286975
2/29/2020 17:29,0.3642075,0.38236287
2/29/2020 17:39,0.3517051,0.36747092
2/29/2020 17:50,0.339204,0.3525784
2/29/2020 18:00,0.3474245,0.36207366
2/29/2020 18:10,0.33619434,0.34891132
2/29/2020 18:20,0.36148033,0.37840912
2/29/2020 18:30,0.34393683,0.35802963
2/29/2020 18:40,0.31506452,0.3237518
2/29/2020 18:49,0.32679757,0.337679
2/29/2020 18:59,0.33917263,0.35249236
2/29/2020 19:10,0.35146412,0.36717662
2/29/2020 19:20,0.34087077,0.35442105
2/29/2020 19:30,0.32692385,0.3376502
2/29/2020 19:40,0.33761725,0.35050124
2/29/2020 19:50,0.33863008,0.35176405
2/29/2020 19:59,0.3333062,0.34530273
2/29/2020 20:09,0.3360881,0.34854242
2/29/2020 20:20,0.33925155,0.35222736
2/29/2020 20:30,0.33744663,0.35034573
2/29/2020 20:40,0.33421344,0.34649342
2/29/2020 20:50,0.3455672,0.36012527
2/29/2020 21:00,0.32883698,0.3399511
2/29/2020 21:09,0.33902255,0.35205832
2/29/2020 21:20,0.35109952,0.3664535
2/29/2020 21:30,0.33317316,0.34518144
2/29/2020 21:40,0.3317572,0.3434502
2/29/2020 21:50,0.346304,0.36091572
2/29/2020 22:00,0.3411713,0.35479593
2/29/2020 22:10,0.35286695,0.3685717
2/29/2020 22:19,0.37948412,0.39985853
2/29/2020 22:29,0.35673046,0.37294042
2/29/2020 22:40,0.33585763,0.34828576
2/29/2020 22:50,0.34230536,0.35609347
2/29/2020 23:00,0.33077422,0.3423444
2/29/2020 23:10,0.3375227,0.35030648
2/29/2020 23:20,0.3381337,0.3512074
2/29/2020 23:29,0.33544323,0.3478826
2/29/2020 23:39,0.34301132,0.35703704
2/29/2020 23:50,0.35153928,0.36733142
3/1/2020 0:00,0.3388629,0.35194278
3/1/2020 0:10,0.33527297,0.34766617
3/1/2020 0:20,0.33185917,0.34370488
3/1/2020 0:30,0.34496027,0.35931373
3/1/2020 0:39,0.3423744,0.35622886
3/1/2020 0:50,0.33923718,0.35247567
3/1/2020 1:00,0.32684126,0.33790955
3/1/2020 1:10,0.3490092,0.36384568
3/1/2020 1:20,0.3349397,0.34727064
3/1/2020 1:30,0.3444164,0.35882097
3/1/2020 1:39,0.3373103,0.34998003
3/1/2020 1:49,0.33927524,0.3523819
3/1/2020 2:00,0.33917686,0.3522679
3/1/2020 2:10,0.33623785,0.3487731
3/1/2020 2:30,0.34496486,0.35933658
3/1/2020 2:40,0.3296081,0.3408794
3/1/2020 2:49,0.33924943,0.3523983
3/1/2020 2:59,0.34104234,0.3545627
3/1/2020 3:10,0.3428444,0.35673368
3/1/2020 3:20,0.3556844,0.372206
3/1/2020 3:30,0.34592834,0.36055005
3/1/2020 3:40,0.33461368,0.34712803
3/1/2020 3:50,0.3364953,0.34926355
3/1/2020 4:00,0.32706288,0.33811432
3/1/2020 4:09,0.3389148,0.35221174
3/1/2020 4:20,0.34953007,0.36483464
3/1/2020 4:30,0.36367527,0.38165155
3/1/2020 4:40,0.34299365,0.35687026
3/1/2020 4:50,0.33909133,0.35233593
3/1/2020 5:00,0.3347446,0.34721962
3/1/2020 5:10,0.3469961,0.3615924
3/1/2020 5:19,0.34411573,0.35819054
3/1/2020 5:30,0.34138858,0.35496658
3/1/2020 5:40,0.34955725,0.3647364
3/1/2020 5:50,0.35208762,0.36783585
3/1/2020 6:00,0.32501653,0.33547944
3/1/2020 6:10,0.34716615,0.36199948
3/1/2020 6:20,0.3486142,0.36321184
3/1/2020 6:29,0.3269864,0.33768496
3/1/2020 6:39,0.34261698,0.35647997
3/1/2020 6:50,0.35849765,0.3755576
3/1/2020 7:00,0.38445008,0.40626281
3/1/2020 7:10,0.33692288,0.34975737
3/1/2020 7:20,0.34872037,0.36358678
3/1/2020 7:30,0.34506994,0.35930964
3/1/2020 7:39,0.35683227,0.3734347
3/1/2020 7:49,0.34585837,0.36041805
3/1/2020 8:00,0.33488497,0.34740213
3/1/2020 8:10,0.3325888,0.34436077
3/1/2020 8:20,0.33953792,0.3529286
3/1/2020 8:30,0.34752056,0.36231282
3/1/2020 8:40,0.35115567,0.36664265
3/1/2020 8:50,0.32240307,0.33254188
3/1/2020 8:59,0.33108816,0.34282583
3/1/2020 9:10,0.33942148,0.35268897
3/1/2020 9:20,0.31992355,0.32955348
3/1/2020 9:30,0.33087507,0.34256727
3/1/2020 9:40,0.3396647,0.35309285
3/1/2020 9:50,0.34909424,0.36425182
3/1/2020 10:00,0.33811584,0.35112923
3/1/2020 10:09,0.34615898,0.3606302
3/1/2020 10:20,0.35394388,0.36980832
3/1/2020 10:30,0.35423407,0.37031642
3/1/2020 10:40,0.32968313,0.3411704
3/1/2020 10:50,0.34477767,0.35917956
3/1/2020 11:00,0.34634084,0.36122242
3/1/2020 11:10,0.33866772,0.35165003
3/1/2020 11:19,0.3356199,0.34806654
3/1/2020 11:30,0.33334377,0.34541455
3/1/2020 11:40,0.34806785,0.36315507
3/1/2020 11:50,0.34332806,0.35739678
3/1/2020 12:00,0.3508581,0.3664678
3/1/2020 12:10,0.3234148,0.33363238
3/1/2020 12:20,0.33525085,0.34778523
3/1/2020 12:29,0.34829172,0.3631416
3/1/2020 12:39,0.35058203,0.36600497
3/1/2020 12:50,0.35287106,0.36886725
3/1/2020 13:00,0.33150497,0.34332797
3/1/2020 13:10,0.334764,0.34695816
3/1/2020 13:20,0.33658403,0.34900653
3/1/2020 13:30,0.32647815,0.33720157
3/1/2020 13:39,0.3260145,0.33663115
3/1/2020 13:49,0.34011897,0.3534587
3/1/2020 14:00,0.35400045,0.3700246
3/1/2020 14:10,0.3457265,0.36031803
3/1/2020 14:20,0.3320867,0.34365684
3/1/2020 14:30,0.33940163,0.35284048
3/1/2020 14:40,0.34844813,0.363299
3/1/2020 14:50,0.33925384,0.35245878
3/1/2020 14:59,0.35431924,0.3706222
3/1/2020 15:10,0.36993572,0.389423
3/1/2020 15:20,0.357381,0.37428764
3/1/2020 15:30,0.33014327,0.34162048
3/1/2020 15:40,0.33851442,0.351628
3/1/2020 15:50,0.3694532,0.3885995
3/1/2020 16:00,0.3755663,0.39590317
3/1/2020 16:09,0.35527667,0.37163907
3/1/2020 16:20,0.33314538,0.34515718
3/1/2020 16:30,0.3363724,0.3492357
3/1/2020 16:40,0.33377314,0.3461042
3/1/2020 16:50,0.33461642,0.3468829
3/1/2020 17:00,0.353801,0.37009206
3/1/2020 17:09,0.3403124,0.35388762
3/1/2020 17:19,0.35311535,0.36917448
3/1/2020 17:30,0.3662183,0.38481358
3/1/2020 17:40,0.33081317,0.3425841
3/1/2020 17:50,0.35677734,0.3732488
3/1/2020 18:00,0.33882576,0.35197553
